second,Volt
25.001,0.006012
25.002,0.006012
25.003,0.006012
25.004,0.006012
25.005,0.006012
25.006,0.006012
25.007,0.006012
25.008,0.006012
25.009,0.006012
25.01,0.006012
25.011,0.006012
25.012,0.006012
25.013,0.006012
25.014,0.006012
25.015,0.006012
25.016,0.006012
25.017,0.006012
25.018,0.006012
25.019,0.006012
25.02,0.006012
25.021,0.006012
25.022,0.006012
25.023,0.006012
25.024,0.006012
25.025,0.006012
25.026,0.006012
25.027,0.006012
25.028,0.006012
25.029,0.006012
25.03,0.006012
25.031,0.006012
25.032,0.006012
25.033,0.006012
25.034,0.006012
25.035,0.006012
25.036,0.006012
25.037,0.006012
25.038,0.006012
25.039,0.006012
25.04,0.006012
25.041,0.006012
25.042,0.006012
25.043,0.006012
25.044,0.006012
25.045,0.006012
25.046,0.006012
25.047,0.006012
25.048,0.006012
25.049,0.006012
25.05,0.006012
25.051,0.006012
25.052,0.006012
25.053,0.006012
25.054,0.006012
25.055,0.006012
25.056,0.006012
25.057,0.006012
25.058,0.006012
25.059,0.006012
25.06,0.006012
25.061,0.006012
25.062,0.006012
25.063,0.006012
25.064,0.006012
25.065,0.006012
25.066,0.006012
25.067,0.006012
25.068,0.006012
25.069,0.006012
25.07,0.006012
25.071,0.006012
25.072,0.006012
25.073,0.006012
25.074,0.006012
25.075,0.006012
25.076,0.006012
25.077,0.006012
25.078,0.006012
25.079,0.006012
25.08,0.006012
25.081,0.006012
25.082,0.006012
25.083,0.006012
25.084,0.006012
25.085,0.006012
25.086,0.006012
25.087,0.006012
25.088,0.006012
25.089,0.006012
25.09,0.006012
25.091,0.006012
25.092,0.006012
25.093,0.006012
25.094,0.006012
25.095,0.006012
25.096,0.006012
25.097,0.006012
25.098,0.006012
25.099,0.006012
25.1,0.006012
25.101,0.006012
25.102,0.006012
25.103,0.006012
25.104,0.006012
25.105,0.006012
25.106,0.006012
25.107,0.006012
25.108,0.006012
25.109,0.006012
25.11,0.006012
25.111,0.006012
25.112,0.006012
25.113,0.006012
25.114,0.006012
25.115,0.006012
25.116,0.006012
25.117,0.006012
25.118,0.006012
25.119,0.006012
25.12,0.006012
25.121,0.006012
25.122,0.006012
25.123,0.006012
25.124,0.006012
25.125,0.006012
25.126,0.006012
25.127,0.006012
25.128,0.006012
25.129,0.006012
25.13,0.006012
25.131,0.006012
25.132,0.006012
25.133,0.006012
25.134,0.006012
25.135,0.006012
25.136,0.006012
25.137,0.006012
25.138,0.006012
25.139,0.006012
25.14,0.006012
25.141,0.006012
25.142,0.006012
25.143,0.006012
25.144,0.006012
25.145,0.006012
25.146,0.006012
25.147,0.006012
25.148,0.006012
25.149,0.006012
25.15,0.006012
25.151,0.006012
25.152,0.006012
25.153,0.006012
25.154,0.006012
25.155,0.006012
25.156,0.006012
25.157,0.006012
25.158,0.006012
25.159,0.006012
25.16,0.006012
25.161,0.006012
25.162,0.006012
25.163,0.006012
25.164,0.006012
25.165,0.006012
25.166,0.006012
25.167,0.006012
25.168,0.006012
25.169,0.006012
25.17,0.006012
25.171,0.006012
25.172,0.006012
25.173,0.006012
25.174,0.006012
25.175,0.006012
25.176,0.006012
25.177,0.006012
25.178,0.006012
25.179,0.006012
25.18,0.006012
25.181,0.006012
25.182,0.006012
25.183,0.006012
25.184,0.006012
25.185,0.006012
25.186,0.006012
25.187,0.006012
25.188,0.006012
25.189,0.006012
25.19,0.006012
25.191,0.006012
25.192,0.006012
25.193,0.006012
25.194,0.006012
25.195,0.006012
25.196,0.006012
25.197,0.006012
25.198,0.006012
25.199,0.006012
25.2,0.006012
25.201,0.006012
25.202,0.006012
25.203,0.006012
25.204,0.006012
25.205,0.006012
25.206,0.006012
25.207,0.006012
25.208,0.006012
25.209,0.006012
25.21,0.006012
25.211,0.006012
25.212,0.006012
25.213,0.006012
25.214,0.006012
25.215,0.006012
25.216,0.006012
25.217,0.006012
25.218,0.006012
25.219,0.006012
25.22,0.006012
25.221,0.006012
25.222,0.006012
25.223,0.006012
25.224,0.006012
25.225,0.006012
25.226,0.006012
25.227,0.006012
25.228,0.006012
25.229,0.006012
25.23,0.006012
25.231,0.006012
25.232,0.006012
25.233,0.006012
25.234,0.006012
25.235,0.006012
25.236,0.006012
25.237,0.006012
25.238,0.006012
25.239,0.006012
25.24,0.006012
25.241,0.006012
25.242,0.006012
25.243,0.006012
25.244,0.006012
25.245,0.006012
25.246,0.006012
25.247,0.006012
25.248,0.006012
25.249,0.006012
25.25,0.006012
25.251,0.006012
25.252,0.006012
25.253,0.006012
25.254,0.006012
25.255,0.006012
25.256,0.006012
25.257,0.006012
25.258,0.006012
25.259,0.006012
25.26,0.006012
25.261,0.006012
25.262,0.006012
25.263,0.006012
25.264,0.006012
25.265,0.006012
25.266,0.006012
25.267,0.006012
25.268,0.006012
25.269,0.006012
25.27,0.006012
25.271,0.006012
25.272,0.006012
25.273,0.006012
25.274,0.006012
25.275,0.006012
25.276,0.006012
25.277,0.006012
25.278,0.006012
25.279,0.006012
25.28,0.006012
25.281,0.006012
25.282,0.006012
25.283,0.006012
25.284,0.006012
25.285,0.006012
25.286,0.006012
25.287,0.006012
25.288,0.006012
25.289,0.006012
25.29,0.006012
25.291,0.006012
25.292,0.006012
25.293,0.006012
25.294,0.006012
25.295,0.006012
25.296,0.006012
25.297,0.006012
25.298,0.006012
25.299,0.006012
25.3,0.006012
25.301,0.006012
25.302,0.006012
25.303,0.006012
25.304,0.006012
25.305,0.006012
25.306,0.006012
25.307,0.006012
25.308,0.006012
25.309,0.006012
25.31,0.006012
25.311,0.006012
25.312,0.006012
25.313,0.006012
25.314,0.006012
25.315,0.006012
25.316,0.006012
25.317,0.006012
25.318,0.006012
25.319,0.006012
25.32,0.006012
25.321,0.006012
25.322,0.006012
25.323,0.006012
25.324,0.006012
25.325,0.006012
25.326,0.006012
25.327,0.006012
25.328,0.006012
25.329,0.006012
25.33,0.006012
25.331,0.006012
25.332,0.006012
25.333,0.006012
25.334,0.006012
25.335,0.006012
25.336,0.006012
25.337,0.006012
25.338,0.006012
25.339,0.006012
25.34,0.006012
25.341,0.006012
25.342,0.006012
25.343,0.006012
25.344,0.006012
25.345,0.006012
25.346,0.006012
25.347,0.006012
25.348,0.006012
25.349,0.006012
25.35,0.006012
25.351,0.006012
25.352,0.006012
