Time,FilteredVoltage
-9980,-36
-9980,-39.944785443992
-9970,-41.797889940036
-9960,-41.414739467762
-9950,-40.40292630797
-9950,-40.2043379172701
-9940,-40.7463126983639
-9930,-40.977770238574
-9920,-40.314981689496
-9910,-39.250232995264
-9910,-38.662417639438
-9900,-38.8412968484521
-9890,-39.3095037449959
-9880,-39.472892265214
-9880,-39.257146903786
-9870,-39.031376817922
-9860,-39.0165641626021
-9850,-38.9927094700059
-9840,-38.6918339275741
-9840,-38.2942373771721
-9830,-38.263919698246
-9820,-38.708511070552
-9810,-39.187254787406
-9800,-39.265388518682
-9800,-39.019722070122
-9790,-38.818606902828
-9780,-38.8271578938801
-9770,-39.0067049139219
-9770,-39.414954434826
-9760,-40.071958057664
-9750,-40.535711504334
-9740,-40.111462667272
-9730,-38.74674929455
-9730,-37.372496134872
-9720,-36.972003908038
-9710,-37.4806280258661
-9700,-37.98708020735
-9700,-37.929005638562
-9690,-37.64583655128
-9680,-37.6951675559179
-9670,-38.079718051446
-9660,-38.4045001953959
-9660,-38.4641671226219
-9650,-38.3165393878879
-9640,-37.9711852546641
-9630,-37.41020017525
-9630,-36.8658809388641
-9620,-36.6847849023479
-9610,-36.8466000671739
-9600,-36.9442156342859
-9590,-36.749749214914
-9590,-36.479311643326
-9580,-36.330511721036
-9570,-36.111245460748
-9560,-35.64790768035
-9550,-35.2639592015461
-9550,-35.36104452348
-9540,-35.6550954888079
-9530,-35.424243097194
-9520,-34.6215775580221
-9520,-34.1485948919039
-9510,-34.67733452672
-9500,-35.6887624240901
-9490,-36.213283049096
-9480,-36.16847526572
-9480,-36.222983708464
-9470,-36.4493997782599
-9460,-36.036805748814
-9450,-34.6800365560019
-9450,-33.431766019954
-9440,-33.41623468296
-9430,-34.1607461201221
-9420,-34.1459539997981
-9410,-32.9377970288839
-9410,-31.811760182132
-9400,-31.9610452199901
-9390,-32.9292424915039
-9380,-33.443541375416
-9380,-33.192826904646
-9370,-32.9119401205479
-9360,-32.969923063916
-9350,-32.8506183290699
-9340,-32.186416848224
-9340,-31.460364548156
-9330,-31.2303364037481
-9320,-31.2619781281741
-9310,-31.0194202658539
-9300,-30.622278800882
-9300,-30.644327869962
-9290,-31.128550116654
-9280,-31.4684409002861
-9270,-31.2952760037101
-9270,-30.886040076138
-9260,-30.554598291668
-9250,-30.21375377196
-9240,-29.8197208376261
-9230,-29.716925111762
-9230,-30.077590012212
