Time,FilteredVoltage
-20000,-249
-20000,-244.954708818291
-19900,-244.092355839993
-19900,-245.8663771354
-19900,-243.175528191221
-19900,-245.791625275534
-19900,-246.23931935341
-19900,-245.738248358311
-19800,-247.28025478046
-19800,-246.710817528284
-19800,-244.293940881694
-19800,-244.712362386301
-19800,-246.277812560447
-19800,-244.740110751164
-19800,-244.23792097704
-19700,-243.792090872469
-19700,-242.178046551889
-19700,-239.858640530205
-19700,-243.106541043151
-19700,-242.93066190853
-19700,-241.033270098044
-19600,-244.003270961133
-19600,-242.963350774779
-19600,-243.067435595348
-19600,-243.907011029804
-19600,-245.115739222103
-19600,-243.866636540541
-19500,-243.146987702762
-19500,-246.845120899213
-19500,-245.157391307326
-19500,-243.84445742166
-19500,-245.149981046307
-19500,-242.860123658281
-19500,-239.127271303596
-19400,-239.89180401569
-19400,-238.091561606535
-19400,-235.932046120806
-19400,-239.049435442166
-19400,-237.974331038181
-19400,-238.00659065091
-19300,-239.016075173926
-19300,-238.967263078841
-19300,-238.051607123557
-19300,-237.93538608097
-19300,-240.079324962435
-19300,-237.912057489044
-19300,-238.097749163755
-19200,-237.89963180209
-19200,-237.103821422284
-19200,-236.89891128725
-19200,-236.099370398367
-19200,-236.906052034748
-19200,-234.086725393126
-19100,-236.922324078752
-19100,-238.066271534032
-19100,-236.943843633342
-19100,-238.044238400246
-19100,-237.968158833023
-19100,-239.018492302851
-19000,-237.993475419755
-19000,-239.994288278835
-19000,-237.014647600998
-19000,-234.976674191906
-19000,-234.032244015187
-19000,-232.962817683989
-19000,-235.04174555966
-18900,-232.955766563875
-18900,-232.04489071274
-18900,-229.956404372484
-18900,-233.042477098985
-18900,-233.961390538265
-18900,-234.032719374865
-18800,-235.97374588682
-18800,-235.018081331664
-18800,-236.989412002353
-18800,-235.999970070284
-18800,-237.009252728217
-18800,-234.978331239983
-18800,-235.031888032906
-18700,-235.955691670823
-18700,-234.053660657876
-18700,-234.933619840712
-18700,-232.077075882521
-18700,-230.910946416338
-18700,-230.098531025938
-18600,-231.890901162769
-18600,-232.115861381586
-18600,-231.873902749246
-18600,-233.132124749028
-18600,-231.861123486405
-18600,-233.142241030563
-18500,-232.854192814046
-18500,-233.146308364713
-18500,-232.851846987218
-18500,-233.145117199991
-18500,-232.856587982977
-18500,-231.137254627327
-18500,-229.868148468673
-18400,-228.124938528816
-18400,-227.88355146143
-18400,-225.108744295057
-18400,-225.903153376725
-18400,-227.088778075061
-18400,-225.92106539777
-18300,-226.070945287769
-18300,-226.938612485182
-18300,-230.052607698719
-18300,-228.954561934828
-18300,-228.038915604439
-18300,-228.967136874656
-18300,-228.027414670585
-18200,-227.977126801987
-18200,-228.017464984995
-18200,-227.984652100958
-18200,-226.010957053125
