Time,Volt_In
757659,2295
757660,2236
757661,2190
757662,2100
757663,2057
757664,1997
757664,1930
757665,1875
757666,1807
757667,1737
757668,1686
757669,1621
757669,1554
757670,1484
757671,1439
757672,1369
757673,1321
757673,1269
757674,1215
757675,1169
757676,1110
757677,1061
757678,1016
757678,976
757679,924
757680,895
757681,843
757682,812
757682,783
757683,748
757684,730
757685,700
757686,671
757686,666
757687,650
757688,637
757689,623
757690,622
757690,613
757691,622
757692,623
757693,632
757694,642
757694,643
757695,663
757696,684
757697,701
757698,733
757698,754
757699,780
757700,817
757701,852
757702,883
757702,929
757703,963
757704,1007
757705,1048
757706,1101
757707,1158
757707,1210
757708,1263
757709,1315
757710,1358
757711,1413
757711,1478
757712,1552
757713,1601
757714,1656
757715,1717
757715,1780
757716,1847
757717,1923
757718,1968
757719,2033
757720,2096
757720,2160
757721,2212
757722,2287
757723,2335
757724,2403
757725,2445
757725,2507
757726,2556
757727,2608
757728,2644
757729,2694
757730,2739
757730,2775
757731,2814
757732,2852
757733,2881
757734,2903
757735,2935
757736,2940
757736,2975
757737,2988
757738,3026
757739,3008
757740,3035
757741,3020
757741,3029
757742,3018
757743,3008
757744,2993
757745,2980
757746,2961
757747,2953
757747,2919
757748,2893
757749,2869
757750,2837
757751,2786
757752,2756
757752,2721
757753,2673
757754,2627
757755,2584
757756,2525
757757,2472
757758,2418
757758,2358
757759,2309
757760,2253
757761,2185
757762,2123
757763,2052
757763,2000
757764,1942
757765,1886
757766,1814
757767,1746
757768,1676
757768,1620
757769,1559
757770,1501
757771,1443
757772,1388
757773,1329
757773,1270
757774,1218
757775,1170
757776,1106
757777,1070
757778,1017
757778,971
757779,937
757780,892
757781,856
757782,815
757782,788
757783,758
757784,734
757785,710
757786,681
757786,672
757787,660
757788,635
757789,627
757790,611
757790,610
757791,616
757792,626
757793,616
757794,637
757794,641
757795,658
757796,676
757797,693
757798,716
757798,751
757799,779
757800,802
757801,831
757802,873
757802,921
757803,963
757804,1000
757805,1044
757806,1095
757806,1137
757807,1206
757808,1267
757809,1311
757810,1368
757811,1427
757811,1477
757812,1536
757813,1599
757814,1658
757815,1714
757815,1779
757816,1848
757817,1917
757818,1971
757819,2025
757820,2092
757820,2158
757821,2216
757822,2295
757823,2341
757824,2403
757825,2444
757826,2508
757826,2565
757827,2612
757828,2670
757829,2704
757830,2740
757831,2789
757832,2819
757832,2840
757833,2889
757834,2916
757835,2933
757836,2959
757837,2976
757837,2998
757838,3005
757839,3019
757840,3014
757841,3021
757842,3011
757843,3019
757843,3001
757844,2995
757845,2985
757846,2961
757847,2937
757848,2909
757849,2882
757849,2851
757850,2825
757851,2797
757852,2744
757853,2702
757854,2662
757854,2610
757855,2566
757856,2521
757857,2461
757858,2407
757859,2355
757859,2299
757860,2240
757861,2176
757862,2108
757863,2047
757864,1979
757865,1923
757865,1859
757866,1797
757867,1743
757868,1681
757869,1621
757869,1559
757870,1493
757871,1444
757872,1378
757873,1315
757874,1271
757874,1206
757875,1153
757876,1110
757877,1070
757878,1015
757878,965
757879,936
757880,885
757881,853
757882,825
757882,788
757883,755
757884,735
757885,713
757886,683
757886,672
757887,653
757888,630
757889,637
757890,612
757890,611
757891,618
757892,614
757893,636
757894,627
757894,643
757895,660
757896,677
757897,689
757898,726
757898,743
757899,779
757900,819
757901,846
757902,879
757902,917
757903,963
757904,1004
757905,1042
757906,1100
757906,1142
757907,1199
757908,1238
757909,1294
757910,1357
757910,1407
757911,1477
757912,1520
757913,1574
757914,1646
757914,1704
757915,1764
757916,1847
757917,1896
757918,1958
757919,2017
757919,2084
757920,2154
757921,2219
757922,2268
757923,2335
757924,2382
757925,2444
757925,2493
757926,2547
757927,2618
757928,2644
757929,2691
757930,2725
757930,2769
757931,2812
757932,2863
757933,2875
757934,2896
757935,2932
757935,2955
757936,2972
757937,3005
757938,3001
757939,3008
757940,3011
757940,3017
757941,3013
757942,3042
757943,3010
757944,2997
757945,2991
757945,2966
757946,2953
757947,2942
757948,2899
757949,2881
757950,2849
757951,2796
757951,2772
757952,2725
757953,2699
757954,2644
757955,2590
757956,2539
757956,2490
757957,2441
757958,2388
757959,2286
757960,2230
757961,2170
757962,2112
757963,2054
757964,1953
757965,1896
757966,1822
757967,1766
757967,1703
757968,1639
757969,1587
757970,1521
757971,1469
757972,1398
757972,1336
757973,1299
757974,1239
757975,1187
757976,1132
757976,1091
757977,1034
757978,985
757979,950
757980,903
757980,894
757981,842
