Time,Volt_In,Volt_Out
152182,713,0
152183,743,0
152184,766,0
152184,801,0
152185,838,0
152186,867,0
152187,904,0
152188,941,0
152188,988,0
152189,1022,0
152190,1071,0
152191,1116,0
152191,1166,0
152192,1224,0
152193,1272,0
152194,1317,0
152195,1371,0
152195,1430,0
152196,1507,0
152197,1548,0
152198,1617,0
152199,1672,0
152199,1734,0
152200,1809,0
152201,1859,0
152202,1923,0
152203,1979,0
152203,2040,0
152204,2113,0
152205,2158,0
152206,2216,0
152207,2273,0
152207,2331,0
152208,2403,0
152209,2440,0
152210,2496,0
152211,2545,0
152211,2594,0
152212,2650,0
152213,2685,2038
152230,3010,3245
152247,2150,2980
152264,972,1841
152280,676,932
152297,1552,1170
152314,2730,2338
152331,2991,3229
152348,2094,0
152348,2029,0
152349,1974,0
152350,1913,0
152351,1855,0
152352,1792,0
152352,1743,0
152353,1664,0
152354,1614,0
152355,1548,0
152356,1499,0
152356,1447,0
152357,1380,0
152358,1328,0
152359,1262,0
152360,1215,0
152360,1169,0
152361,1120,0
152362,1075,0
152363,1021,0
152364,972,0
152364,950,0
152365,909,0
152366,855,0
152367,822,0
152368,788,0
152368,763,0
152369,740,0
152370,724,0
152371,695,0
152371,680,0
152372,668,0
152373,646,0
152374,637,0
152374,635,0
152375,631,0
152376,622,0
152377,635,0
152378,638,0
152378,647,0
152379,660,0
152380,655,0
152381,685,0
152381,706,0
152382,713,0
152383,743,0
152384,770,0
152384,792,0
152385,825,0
152386,859,0
152387,900,0
152388,933,0
152388,976,0
152389,1012,0
152390,1062,0
152391,1108,0
152391,1168,0
152392,1207,0
152393,1250,0
152394,1303,0
152395,1364,0
152395,1433,0
152396,1476,0
152397,1536,0
152398,1593,0
152399,1663,0
152399,1725,0
152400,1769,0
152401,1833,0
152402,1892,0
152403,1956,0
152403,2037,0
152404,2079,0
152405,2148,0
152406,2206,0
152407,2263,0
152407,2337,0
152408,2373,0
152409,2422,0
152410,2474,0
152411,2525,0
152411,2601,0
152412,2617,0
152413,2682,0
152414,2724,0
152415,2758,0
152415,2807,0
152416,2822,0
152417,2866,0
152418,2889,0
152419,2929,0
152419,2965,0
152420,2971,0
152421,3003,0
152422,3010,0
152423,3006,0
152423,3050,0
152424,3052,0
152425,3048,0
152426,3055,0
152427,3050,0
152427,3062,0
152428,3050,0
152429,3036,0
152430,3017,0
152431,3010,0
152431,2994,0
152432,2954,0
152433,2945,0
152434,2905,0
152435,2876,0
152435,2855,0
