Time,Volt_In
457650,707
457651,728
457651,737
457652,756
457653,763
457654,772
457655,777
457655,777
457656,779
457657,775
457658,773
457658,769
457659,762
457660,747
457661,734
457662,718
457662,705
457663,687
457664,674
457665,657
457666,639
457666,622
457667,601
457668,589
457669,571
457669,565
457670,556
457671,547
457672,546
457673,543
457673,544
457674,543
457675,556
457676,559
457676,569
457677,580
457678,596
457679,611
457680,626
457680,649
457681,655
457682,683
457683,696
457683,713
457684,720
457685,743
457686,757
457686,766
457687,777
457688,780
457689,778
457690,781
457690,781
457691,773
457692,769
457693,763
457694,746
457694,736
457695,717
457696,701
457697,689
457697,667
457698,647
457699,633
457700,611
457701,602
457701,588
457702,573
457703,564
457704,556
457704,552
457705,543
457706,546
457707,539
457708,544
457708,556
457709,562
457710,570
457711,576
457711,600
457712,612
457713,622
457714,642
457714,662
457715,684
457716,700
457717,713
457718,724
457718,747
457719,755
457720,763
457721,769
457721,770
457722,783
457723,782
457724,774
457725,776
457725,768
457726,762
457727,745
457728,734
457728,718
457729,701
457730,693
457731,667
457732,649
457732,637
457733,616
457734,597
457735,585
457735,576
457736,567
457737,557
457738,547
457738,546
457739,540
457740,541
457741,544
457742,554
457742,565
457743,573
457744,581
457745,597
457745,606
457746,613
457747,643
457748,661
457749,676
457749,701
457750,710
457751,724
457752,737
457752,752
457753,760
457754,772
457755,777
457756,776
457756,789
457757,776
457758,776
457759,763
457759,755
457760,748
457761,734
457762,724
457762,706
457763,684
457764,672
457765,656
457766,632
457766,625
457767,599
457768,587
457769,570
457769,567
457770,555
457771,547
457772,543
457773,539
457773,546
457774,545
457775,555
457776,561
457777,572
457777,587
457778,598
457779,612
457780,630
457780,652
457781,660
457782,681
457783,699
457783,713
457784,730
457785,738
457786,755
457787,765
457787,779
457788,776
457789,778
457790,777
457790,776
457791,775
457792,766
457793,757
457794,744
457794,734
457795,718
457796,704
457797,686
457797,666
457798,653
457799,633
457800,621
457801,598
457801,588
457802,576
457803,567
457804,556
457804,553
457805,547
457806,540
457807,541
457807,547
457808,552
457809,557
457810,568
457811,581
457811,593
457812,606
457813,624
457814,643
457814,658
457815,680
457816,696
457817,710
457817,722
457818,738
457819,754
457820,757
457821,772
457821,777
457822,783
457823,779
457824,781
457824,772
457825,768
457826,761
457827,745
457828,734
457828,722
457829,707
457830,684
457831,676
457831,658
457832,638
457833,620
457834,605
457834,589
457835,581
457836,568
457837,556
457838,547
457838,547
457839,546
457840,545
457841,546
457842,553
457842,539
457843,568
457844,581
457845,591
457845,608
457846,626
457847,646
457848,664
457848,678
457849,697
457850,712
457851,726
457852,744
457852,758
457853,763
457854,773
457855,778
457855,779
457856,782
457857,777
457858,775
457858,770
457859,760
457860,747
457861,733
457862,725
457862,711
457863,687
457864,672
457865,656
457866,639
457866,627
457867,648
457868,586
457869,580
457869,564
457870,556
457871,548
457872,545
457873,537
457873,547
457874,544
457875,546
457876,556
457876,566
457877,582
