Time,Volt_Out
415747,658
415748,658
415749,658
415750,658
415750,658
415751,658
415752,658
415753,658
415754,658
415754,658
415755,658
415756,661
415757,661
415758,661
415758,661
415759,661
415760,661
415761,661
415762,661
415762,661
415763,661
415764,661
415765,661
415766,658
415766,658
415767,658
415768,658
415769,658
415770,658
415770,658
415771,661
415772,661
415773,661
415774,661
415775,661
415775,661
415776,654
415777,654
415778,654
415779,654
415779,654
415780,654
415781,658
415782,658
415783,658
415783,658
415784,658
415785,658
415786,661
415787,661
415787,661
415788,661
415789,661
415790,661
415791,658
415791,658
415792,658
415793,658
415794,658
415795,658
415795,658
415796,658
415797,658
415798,658
415799,658
415799,658
415800,658
415801,664
415802,664
415803,664
415803,664
415804,664
415805,664
415806,661
415807,661
415807,661
415808,661
415809,661
415810,661
415811,658
415811,658
415812,658
415813,658
415814,658
415815,658
415815,658
415816,654
415817,654
415818,654
415819,654
415819,654
415820,654
415821,658
415822,658
415823,658
415823,658
415824,658
415825,658
415826,658
415827,658
415827,658
415828,658
415829,658
415830,658
415831,658
415831,658
415832,658
415833,658
415834,658
415835,658
415835,658
415836,654
415837,654
415838,654
415839,654
415839,654
415840,654
415841,658
415842,658
415843,658
415843,658
415844,658
415845,658
415846,658
415847,658
415847,658
415848,658
415849,658
415850,658
415851,651
415851,651
415852,651
415853,651
415854,651
415855,651
415855,651
415856,651
415857,651
415858,651
415859,651
415859,651
415860,651
415861,651
415862,651
415863,651
415864,651
415864,651
415865,651
415866,645
415867,645
415868,645
415868,645
415869,645
415870,645
415871,661
415872,661
415872,661
415873,661
415874,661
415875,661
415876,651
415877,651
415877,651
415878,651
415879,651
415880,651
415881,651
415882,651
415882,651
415883,651
415884,651
415885,651
415886,664
415886,664
415887,664
415888,664
415889,664
415890,664
415891,661
415891,661
415892,661
415893,661
415894,661
415895,661
415895,661
415896,648
415897,648
415898,648
415899,648
415899,648
415900,648
415901,658
415902,658
415903,658
415904,658
415904,658
415905,658
415906,664
415907,664
415908,664
415908,664
415909,664
415910,664
415911,651
415912,651
415913,651
415913,651
415914,651
415915,651
415916,658
415917,658
415918,658
415918,658
415919,658
415920,658
415921,661
415922,661
415922,661
415923,661
415924,661
415925,661
415926,654
415926,654
415927,654
415928,654
415929,654
415930,654
415931,648
415931,648
415932,648
415933,648
415934,648
415935,648
415935,648
415936,661
415937,661
415938,661
415939,661
415939,661
415940,661
415941,661
415942,661
415943,661
415943,661
415944,661
415945,661
415946,651
415947,651
415947,651
415948,651
415949,651
415950,651
415951,661
415951,661
415952,661
415953,661
415954,661
415955,661
415956,664
415956,664
415957,664
415958,664
415959,664
415960,664
415960,664
415961,651
415962,651
415963,651
415964,651
415964,651
415965,651
415966,654
415967,654
415968,654
415968,654
415969,654
415970,654
415971,664
415972,664
415972,664
415973,664
415974,664
415975,664
415976,651
415976,651
415977,651
415978,651
415979,651
415980,651
415980,651
415981,651
415982,651
415983,651
415984,651
415984,651
415985,651
415986,670
415987,670
415988,670
415988,670
415989,670
415990,670
415991,654
415992,654
415992,654
415993,654
415994,654
415995,654
415996,648
415996,648
415997,648
415998,648
415999,648
416000,648
416000,648
416001,664
416002,664
416003,664
416004,664
416004,664
416005,664
416006,664
416007,664
416008,664
416008,664
416009,664
416010,664
416011,651
416012,651
416012,651
416013,651
416014,651
416015,651
416016,654
416016,654
416017,654
416018,654
416019,654
416020,654
416020,654
416021,664
416022,664
416023,664
416024,664
416024,664
416025,664
416026,654
416027,654
416028,654
416028,654
416029,654
416030,654
416031,651
416032,651
416032,651
416033,651
416034,651
416035,651
416036,664
416036,664
416037,664
416038,664
416039,664
416040,664
416040,664
416041,654
416042,654
416043,654
416044,654
416044,654
416045,654
416046,648
416047,648
416048,648
416048,648
416049,648
416050,648
416051,664
416052,664
416052,664
416053,664
416054,664
416055,664
416056,661
416056,661
416057,661
416058,661
416059,661
416060,661
416060,661
