Time,Volt_In
1087949,2438
1087950,2493
1087951,2554
1087951,2606
1087952,2674
1087953,2727
1087954,2786
1087955,2847
1087955,2906
1087956,2970
1087957,3050
1087958,3087
1087959,723
1087960,784
1087960,844
1087961,896
1087962,955
1087963,1012
1087963,1068
1087964,1129
1087965,1191
1087966,1246
1087967,1302
1087967,1361
1087968,1421
1087969,1483
1087970,1531
1087971,1593
1087971,1650
1087972,1714
1087973,1776
1087974,1830
1087975,1881
1087976,1942
1087976,2006
1087977,2069
1087978,2121
1087979,2174
1087980,2236
1087980,2296
1087981,2357
1087982,2411
1087983,2468
1087984,2527
1087984,2586
1087985,2657
1087986,2702
1087987,2760
1087988,2814
1087988,2877
1087989,2938
1087990,2990
1087991,3055
1087992,3111
1087992,755
1087993,811
1087994,863
1087995,919
1087996,976
1087996,1030
1087997,1097
1087998,1145
1087999,1209
1088000,1265
1088000,1320
1088001,1390
1088002,1439
1088003,1499
1088004,1560
1088004,1613
1088005,1676
1088006,1728
1088007,1788
1088008,1847
1088008,1908
1088009,1967
1088010,2024
1088011,2077
1088012,2136
1088012,2197
1088013,2264
1088014,2312
1088015,2374
1088016,2430
1088016,2487
1088017,2551
1088018,2606
1088019,2661
1088020,2719
1088020,2782
1088021,2851
1088022,2926
1088023,2964
1088024,3026
1088025,3084
1088025,772
1088026,774
1088027,830
1088028,884
1088029,944
1088029,1002
1088030,1062
1088031,1116
1088032,1173
1088032,1232
1088034,1214
1088035,1401
1088036,1385
1088037,1443
1088038,1502
1088038,1560
1088039,1627
1088040,1675
1088041,1731
1088042,1792
1088042,1848
1088043,1912
1088044,1969
1088045,2026
1088046,2084
1088046,2139
1088047,2208
1088048,2255
1088049,2307
1088050,2373
1088051,2513
1088053,2641
1088056,2855
1088058,2984
1088061,774
1088064,981
1088066,1114
1088068,1316
1088070,1461
1088073,1654
1088075,1791
1088078,1998
1088081,2215
1088082,2344
1088085,2540
1088087,2669
1088090,2875
1088093,666
1088095,802
1088097,1004
1088099,1131
1088102,1336
1088105,1545
1088107,1681
1088110,1881
1088111,2020
1088114,2224
1088117,2429
1088119,2557
1088122,2762
1088124,2896
1088126,695
1088129,897
1088131,1032
1088134,1228
1088136,1358
1088138,1556
