Time,Volt_In,Volt_Out
2756450,2.92,899
2756453,2.88,886
2756456,2.83,872
2756459,2.79,858
2756463,2.74,843
2756466,2.69,827
2756469,2.64,811
2756473,2.59,795
2756476,2.53,778
2756479,2.47,761
2756482,2.41,743
2756486,2.36,725
2756489,2.3,707
2756492,2.22,688
2756495,2.18,669
2756499,2.12,650
2756502,2.05,631
2756505,1.99,612
2756509,1.93,592
2756512,1.86,572
2756515,1.8,552
2756518,1.73,532
2756522,1.66,512
2756525,1.6,492
2756528,1.54,472
2756531,1.48,452
2756535,1.41,433
2756538,1.35,413
2756541,1.29,393
2756544,1.22,374
2756548,1.16,355
2756551,1.1,336
2756554,1.04,317
2756557,0.98,299
2756561,0.92,281
2756564,0.86,263
2756567,0.81,246
2756571,0.75,229
2756574,0.7,213
2756577,0.65,197
2756580,0.6,181
2756584,0.55,166
2756587,0.5,152
2756590,0.46,138
2756593,0.41,124
2756597,0.37,112
2756600,0.33,99
2756603,0.29,88
2756606,0.26,77
2756610,0.23,67
2756613,0.19,57
2756616,0.17,48
2756620,0.14,40
2756623,0.12,33
2756626,0.09,26
2756629,0.07,20
2756633,0.06,15
2756636,0.04,10
2756639,0.02,7
2756642,0.02,4
2756646,0.02,2
2756649,0.01,0
2756652,0.03,0
2756655,0.03,0
2756659,0.03,1
2756662,0.02,2
2756665,0.03,5
2756668,0.04,8
2756672,0.05,12
2756675,0.06,17
2756678,0.08,23
2756681,0.11,29
2756685,0.13,36
2756688,0.15,44
2756691,0.18,52
2756695,0.21,61
2756698,0.24,71
2756701,0.27,82
2756704,0.31,93
2756708,0.35,105
2756711,0.39,117
2756714,0.43,130
2756718,0.48,144
2756721,0.52,158
2756724,0.57,173
2756727,0.62,188
2756731,0.67,204
2756734,0.72,220
2756737,0.78,237
2756740,0.83,254
2756744,0.89,271
2756747,0.94,289
2756750,1,307
2756753,1.07,326
2756758,1.16,354
2756762,1.23,373
2756765,1.28,392
2756768,1.34,412
2756771,1.39,432
2756775,1.47,451
2756778,1.53,471
2756781,1.6,491
2756785,1.66,511
2756788,1.73,531
2756791,1.79,551
2756794,1.86,571
2756798,1.92,591
2756801,1.99,611
2756804,2.05,630
2756807,2.11,649
2756811,2.17,668
2756814,2.24,687
2756817,2.29,706
2756820,2.35,724
2756823,2.41,742
2756827,2.47,760
2756830,2.52,777
2756833,2.58,794
2756836,2.63,810
2756840,2.69,826
2756843,2.74,842
2756846,2.79,857
2756849,2.83,871
2756853,2.87,885
2756856,2.92,899
2756859,2.96,911
2756862,3,923
2756865,3.04,935
2756869,3.08,946
2756872,3.1,956
2756875,3.13,966
2756878,3.16,974
2756882,3.19,982
2756885,3.21,990
2756888,3.22,996
2756891,3.26,1002
2756895,3.27,1008
2756898,3.28,1012
2756901,3.3,1016
2756904,3.3,1019
2756907,3.3,1021
2756911,3.3,1022
2756914,3.3,1022
2756917,3.3,1022
2756920,3.3,1021
2756924,3.3,1019
2756927,3.3,1017
2756930,3.29,1014
2756933,3.28,1009
2756937,3.26,1005
2756940,3.25,999
2756943,3.23,993
2756947,3.2,985
2756950,3.17,978
2756953,3.15,969
2756956,3.12,960
2756960,3.09,950
2756963,3.05,939
2756966,3.01,928
2756969,2.97,916
2756973,2.94,904
2756976,2.9,891
2756979,2.85,877
2756983,2.8,863
2756986,2.75,848
2756989,2.71,833
2756992,2.66,817
2756996,2.6,801
2756999,2.55,784
2757002,2.49,767
2757005,2.44,749
2757009,2.39,732
2757012,2.32,713
2757015,2.26,695
2757018,2.2,676
2757022,2.14,657
2757025,2.08,638
2757028,2.01,618
2757032,1.95,599
2757035,1.88,579
2757038,1.82,559
2757041,1.75,539
2757045,1.69,519
2757048,1.63,499
2757051,1.56,479
2757058,1.43,440
2757061,1.37,420
2757064,1.3,400
2757067,1.24,381
2757071,1.18,362
2757074,1.12,343
2757077,1.06,324
2757080,0.99,305
2757084,0.94,287
2757087,0.88,270
2757090,0.82,252
2757093,0.77,235
2757097,0.72,218
2757100,0.67,202
2757103,0.62,187
2757107,0.56,171
2757110,0.52,157
2757113,0.47,143
2757116,0.43,129
2757120,0.39,116
2757123,0.35,104
2757126,0.31,92
2757129,0.27,81
2757133,0.24,70
2757136,0.2,60
2757139,0.17,51
2757142,0.15,43
2757146,0.12,35
2757149,0.1,28
2757152,0.08,22
2757156,0.07,17
2757159,0.05,12
2757162,0.04,8
2757165,0.03,5
2757169,0.02,2
2757172,0.01,1
2757175,0.03,0
2757178,0.03,0
2757182,0.02,0
2757185,0.03,2
2757188,0.03,4
2757191,0.03,7
2757195,0.04,11
2757198,0.06,15
2757201,0.08,21
2757204,0.1,27
2757208,0.12,33
2757211,0.14,41
2757214,0.17,49
2757217,0.2,58
2757221,0.24,68
2757224,0.27,78
2757227,0.3,89
2757231,0.33,101
2757234,0.38,113
2757237,0.42,126
2757240,0.46,139
2757244,0.51,153
2757247,0.55,168
2757250,0.6,183
2757254,0.65,198
2757257,0.7,214
2757260,0.76,231
2757263,0.81,248
2757267,0.87,265
2757270,0.92,283
2757273,0.98,301
2757276,1.05,319
2757280,1.1,338
2757283,1.17,357
2757286,1.23,376
2757290,1.29,395
2757293,1.35,415
2757296,1.42,435
2757299,1.48,454
2757303,1.54,474
2757306,1.61,494
2757309,1.67,514
2757312,1.74,534
2757316,1.8,554
2757319,1.87,574
2757322,1.93,594
2757326,1.99,613
2757329,2.06,633
2757332,2.12,652
2757335,2.18,671
2757339,2.24,690
2757342,2.31,709
2757345,2.37,727
2757348,2.42,745
2757352,2.48,763
2757355,2.53,780
2757358,2.59,797
2757361,2.64,813
2757365,2.69,829
2757368,2.75,844
2757371,2.79,859
2757374,2.84,873
2757378,2.88,887
2757381,2.93,901
2757384,2.97,913
2757387,3,925
2757391,3.04,937
2757394,3.07,947
2757397,3.11,957
2757400,3.14,967
2757404,3.17,976
2757407,3.2,984
2757410,3.21,991
2757413,3.24,997
2757417,3.26,1003
2757420,3.27,1008
2757423,3.29,1013
2757426,3.3,1016
2757430,3.3,1019
2757433,3.3,1021
2757436,3.3,1022
2757439,3.3,1022
2757443,3.3,1022
2757446,3.3,1021
2757449,3.3,1019
2757452,3.3,1016
2757456,3.29,1013
2757459,3.27,1009
2757462,3.26,1004
2757465,3.24,998
2757469,3.22,992
2757472,3.19,984
2757475,3.18,976
2757479,3.15,968
