Time,Volt_In
266338,656
266339,660
266340,659
266340,660
266341,662
266342,656
266343,657
266344,656
266344,660
266345,662
266346,655
266347,657
266348,659
266348,659
266349,658
266350,658
266351,657
266352,657
266352,659
266353,660
266354,659
266355,659
266356,660
266356,658
266357,658
266358,659
266359,658
266360,658
266360,657
266361,657
266362,657
266363,655
266364,658
266364,659
266365,660
266366,660
266367,658
266368,656
266368,660
266369,660
266370,658
266371,660
266372,660
266372,660
266373,657
266374,660
266375,659
266376,660
266376,657
266377,657
266378,659
266379,655
266380,660
266381,658
266382,659
266382,658
266383,660
266384,655
266385,659
266386,659
266386,657
266387,659
266388,659
266389,658
266390,660
266390,656
266391,661
266392,659
266393,659
266394,660
266394,655
266395,658
266396,659
266397,656
266398,661
266398,657
266399,662
266400,656
266401,661
266402,656
266402,658
266403,657
266404,658
266405,658
266406,659
266406,661
266407,661
266408,658
266409,657
266410,659
266410,660
266411,660
266412,657
266413,655
266414,660
266414,660
266415,664
266416,656
266417,657
266418,658
266418,656
266419,660
266420,658
266421,656
266422,659
266422,662
266423,660
266424,660
266425,656
266426,659
266426,660
266427,655
266428,659
266429,657
266430,657
266430,657
266431,656
266432,658
266433,660
266434,658
266434,659
266435,660
266436,659
266437,655
266438,655
266438,657
266439,661
266440,660
266441,659
266442,659
266442,660
266443,657
266444,656
266445,659
266446,657
266446,655
266447,662
266448,657
266449,655
266450,660
266450,660
266451,658
266452,658
266453,659
266454,656
266454,657
266455,660
266456,658
266457,655
266458,658
266458,660
266459,660
266460,659
266461,657
266462,656
266462,660
266463,657
266464,659
266465,658
266466,660
266466,657
266467,660
266468,660
266469,658
266470,657
266470,657
266471,663
266472,661
266473,659
266474,659
266474,658
266475,659
266476,660
266477,656
266478,658
266478,658
266479,659
266480,655
266481,655
266482,658
266482,659
266483,660
266484,657
266485,659
266486,660
266486,660
266487,660
266488,659
266489,659
266490,660
266490,660
266491,660
266492,660
266493,655
266494,656
266494,659
266495,659
266496,660
266497,659
266498,654
266498,659
266499,658
266500,657
266501,660
266502,658
266502,660
266503,662
266504,657
266505,657
266506,658
266506,658
266507,660
266508,660
266509,660
266510,656
266510,660
266511,660
266512,660
266513,658
266514,656
266514,660
266515,662
266516,658
266517,658
266518,659
266518,657
266519,664
266520,660
266521,659
266522,656
266522,659
266523,659
266524,657
266525,659
266526,658
266526,655
266527,660
266528,657
266529,656
266530,658
266530,658
266531,659
266532,655
266533,655
266534,659
266534,660
266535,661
266536,657
266537,658
266538,656
266539,660
266539,658
266540,657
266541,655
266542,658
266543,657
266543,658
266544,657
266545,659
266546,655
266547,659
266547,658
266548,662
266549,659
266550,658
266551,656
266551,664
266552,656
266553,660
266554,656
266555,658
266555,659
266556,659
266557,657
266558,657
266559,660
266559,660
266560,657
266561,659
266562,655
266563,658
266563,664
266564,657
266565,658
266566,656
266567,659
266567,662
266568,660
266569,657
266570,658
266571,660
266571,661
266572,660
266573,659
266574,658
266575,661
266575,660
266576,660
266577,658
266578,657
266579,662
266579,659
266580,662
266581,659
266582,656
266583,658
266583,661
266584,657
266585,656
266586,657
266587,658
266587,660
266588,659
266589,659
266590,657
266591,659
266591,659
266592,657
266593,658
266594,657
266595,657
266595,658
266596,656
266597,659
266598,656
266599,658
266599,662
266600,659
266601,660
266602,655
266603,657
266603,656
266604,658
266605,657
266606,657
266607,660
266607,658
266608,660
266609,657
266610,658
266611,659
266611,660
266612,658
266613,658
266614,658
266615,658
266615,664
266616,658
266617,658
266618,656
266619,660
266619,660
266620,660
266621,660
266622,659
266623,657
266623,659
266624,657
266625,659
266626,655
266627,660
266627,660
266628,659
266629,660
266630,656
266631,658
266631,662
266632,659
266633,660
266634,659
266635,657
266635,661
266636,658
266637,658
266638,659
266639,659
266639,660
266640,657
266641,658
266642,658
266643,658
266643,660
