Timestamps,Volts
231084,995
231087,999
231089,1002
231091,1004
231093,1007
231095,1009
231098,1012
231100,1014
231102,1015
231104,1017
231107,1018
231109,1020
231111,1021
231114,1021
231116,1022
231119,1022
231121,1022
231124,1022
231126,1022
231128,1022
231131,1021
231133,1020
231136,1019
231138,1018
231140,1017
231142,1015
231144,1013
231147,1011
231149,1009
231151,1006
231153,1004
231155,1001
231158,998
231160,994
231162,991
231164,987
231166,983
231169,979
231171,975
231173,971
231175,966
231178,961
231180,957
231182,951
231184,946
231186,941
231189,935
231191,929
231193,923
231195,917
231197,911
231200,904
231202,898
231204,891
231206,884
231209,877
231211,870
231213,862
231215,855
231217,847
231220,839
231222,831
231224,823
231226,815
231228,807
231231,798
231233,790
231235,781
231237,773
231240,764
231242,755
231244,746
231246,737
231248,727
231251,718
231253,709
231255,699
231257,690
231260,680
231262,670
231264,660
231266,651
231268,641
231271,631
231273,621
231275,611
231277,601
231279,591
231282,581
231284,570
231286,560
231289,550
231291,540
231294,530
231296,519
231299,509
231301,499
231303,489
231306,478
231308,468
231311,458
231313,448
231315,438
231317,428
231319,417
231322,407
231324,397
231326,387
231328,378
231330,368
231333,358
231335,348
231337,338
231339,329
231341,319
231344,310
231346,300
231348,291
231350,282
231352,273
231355,264
231357,255
231359,246
231361,237
231363,229
231366,220
231368,212
231370,204
231372,196
231374,188
231377,180
231379,172
231381,164
231383,157
231385,150
231388,142
231390,135
231392,129
231394,122
231397,115
231399,109
231401,103
231403,97
231405,91
231408,85
231410,79
231412,74
231414,69
231417,64
231419,59
231421,54
231423,50
231426,45
231428,41
231430,37
231432,33
231434,30
231437,26
231439,23
231441,20
231443,17
231446,15
231448,12
231450,10
231452,8
231454,7
231457,5
231459,4
231461,2
231464,1
231466,1
231469,0
231471,0
231473,0
231476,0
231478,0
231481,0
231483,1
231486,2
231488,3
231490,4
231492,6
231494,7
231497,9
231499,11
231501,14
231503,16
231506,19
231508,22
231510,25
231512,28
231514,31
231517,35
231519,39
231521,43
231523,47
231525,52
231528,56
231530,61
231532,66
231534,71
231537,76
231539,82
231541,87
231543,93
231545,99
231548,105
231550,112
231552,118
231554,125
231556,132
231559,139
231561,146
231563,153
231565,160
231567,168
231570,175
231572,183
231574,191
231576,199
231579,207
231581,216
231583,224
231585,233
231587,241
231590,250
231592,259
231594,268
231596,277
231598,286
231601,295
231603,305
231605,314
231607,324
231610,333
231612,343
231614,352
231616,362
231618,372
231621,382
231623,392
231625,402
231627,412
231629,422
231632,432
231634,442
231636,452
231639,463
231641,473
231644,483
231646,493
231648,503
231651,514
231653,524
231656,534
231658,544
231661,555
231663,565
231665,575
231667,585
231669,595
231672,605
231674,615
231676,625
231678,635
231680,645
231683,655
231685,665
231687,675
231689,684
231691,694
231694,703
231696,713
231698,722
231700,731
231702,741
231705,750
231707,759
231709,768
231711,777
231713,785
231716,794
231718,802
231720,811
231722,819
231724,827
231727,835
231729,843
231731,851
231733,858
231735,866
231738,873
231740,880
231742,887
231744,894
231747,901
231749,907
231751,914
231753,920
231755,926
231758,932
231760,938
231762,943
231764,949
231767,954
231769,959
231771,964
231773,968
231775,973
231778,977
231780,981
231782,985
231784,989
231787,992
231789,996
231791,999
231793,1002
231795,1005
231798,1007
231800,1010
231802,1012
231804,1014
231807,1016
231809,1017
231811,1019
231813,1020
231816,1021
231818,1021
231821,1022
231823,1022
231826,1022
231828,1022
231830,1022
231833,1022
231835,1021
231838,1020
231840,1019
231842,1018
231844,1016
231847,1015
231849,1013
231851,1011
231853,1008
231856,1006
231858,1003
231860,1000
231862,997
231864,994
231867,990
231869,987
231871,983
231873,979
231875,975
231878,970
231880,966
231882,961
231884,956
231886,951
231889,945
231891,940
231893,934
231895,928
231898,922
231900,916
231902,910
231904,903
231906,897
231909,890
231911,883
231913,876
231915,869
231917,861
231920,854
231922,846
231924,838
231926,830
231928,822
231931,814
231933,806
231935,797
231937,789
231940,780
231942,771
231944,762
231946,753
231948,744
231951,735
231953,726
231955,717
231957,707
231960,698
231962,688
231964,678
231966,669
231968,659
231971,649
231973,639
231975,629
231977,619
231980,609
231982,599
231984,589
231986,579
231988,569
231991,559
231993,548
231996,538
231998,528
232001,518
232003,508
232006,497
232008,487
232010,477
232013,467
232015,456
232017,446
232019,436
232022,426
232024,416
232026,406
232028,396
232030,386
232033,376
232035,366
232037,356
232039,347
232041,337
232044,327
232046,318
232048,308
232050,299
232053,290
232055,281
232057,272
232059,263
232061,254
232064,245
232066,236
232068,228
232070,219
232072,211
232075,203
232077,194
232079,186
232081,179
232083,171
232085,163
232088,156
232090,149
232092,141
232094,134
232097,128
232099,121
232101,114
232103,108
232105,102
232108,96
232110,90
232112,84
232114,78
232117,73
232119,68
232121,63
232123,58
232126,53
232128,49
232130,45
232132,40
232134,37
232137,33
232139,29
232141,26
232143,23
232146,20
232148,17
232150,15
232152,12
232154,10
232157,8
232159,6
232161,5
232163,3
232166,2
232168,1
232170,1
232173,0
232175,0
232178,0
232180,0
232183,0
232185,0
232188,1
232190,2
232192,3
232194,4
232197,6
232199,8
232201,9
232203,12
232205,14
232208,16
232210,19
232212,22
232214,25
232216,28
232219,32
232221,36
232223,39
232225,44
232228,48
232230,52
232232,57
232234,62
232236,67
232239,72
232241,77
232243,83
232245,88
232247,94
232250,100
232252,106
232254,113
232256,119
232259,126
232261,133
232263,140
232265,147
232267,154
232270,161
232272,169
232274,177
232276,184
232279,192
232281,200
232283,209
232285,217
232287,225
232290,234
232292,243
232294,251
232296,260
232298,269
232301,278
232303,287
232305,297
232307,306
232309,315
232312,325
232314,335
