Time,Volt_In
64569,2830
64572,1959
64575,992
64577,624
64580,1104
64583,2103
64586,2898
64589,2916
64591,2131
64594,1137
64597,618
64600,975
64602,1929
64605,2819
64608,2985
64611,2322
64614,1307
64616,657
64619,838
64622,1726
64625,2684
64628,3017
64630,2480
64633,1478
64636,712
64639,754
64641,1546
64644,2534
64647,3021
64650,2629
64653,1664
64655,802
64658,675
64661,1371
64664,2404
64667,3005
64669,2733
64672,1811
64675,900
64678,640
64681,1228
64683,2235
64686,2952
64689,2843
64692,1992
64695,1020
64697,619
64700,1046
64703,2043
64706,2878
64708,2943
64711,2191
64714,1181
64717,632
64720,941
64722,1863
64725,2778
64728,2988
64731,2361
64734,1351
64736,677
64739,801
64742,1671
64745,2652
64748,3020
64750,2527
64753,1522
64756,743
64759,851
64762,1743
64765,2702
64768,3012
64771,2442
64773,1436
64776,700
64779,770
64782,1600
64785,2597
64787,3026
64790,2577
64793,1542
64796,759
64799,705
64801,1437
64804,2458
64807,3012
64810,2695
64813,1728
64815,845
64818,660
64821,1295
64824,2336
64827,2997
64829,2791
64832,1890
64835,932
64838,632
64841,1192
64843,2180
64846,2945
64849,2868
64852,2033
64855,1043
64857,616
64860,1025
64863,2021
64867,3076
64870,2750
64873,1778
64875,895
64878,709
64881,1364
64884,2389
64887,3055
64889,2855
64892,1947
64895,995
64898,673
64901,1235
64903,2237
64906,3001
64909,2926
64912,2085
64915,1095
64917,665
64920,1096
64924,2494
64927,3017
64930,2695
64933,1740
64935,849
64938,661
64941,1307
64944,2341
64947,2996
64949,2792
64952,1887
64955,932
64958,634
64961,1191
64963,2186
64966,2948
64969,2865
64972,2026
64975,1036
64977,624
64980,1058
64983,2053
64986,2887
64989,2932
64991,2186
64994,1172
64997,625
65000,952
65003,1865
65005,2776
65008,3011
65011,2388
65014,1348
65016,671
65019,806
65022,1670
65025,2652
65028,3016
65031,2512
65033,1519
65036,724
65039,739
65042,1536
65044,2519
65047,3021
65050,2627
65053,1652
65056,797
65058,668
65061,1364
65064,2401
65067,3009
65070,2752
65073,1822
65075,904
65078,643
65081,1230
65084,2224
65086,2955
65089,2860
65092,2037
65095,1046
65097,600
65100,1042
65103,2044
65106,2878
65109,2944
65112,2186
65114,1166
65117,631
65120,950
65125,2551
65127,3013
65130,2621
65133,1659
65136,802
65139,673
65141,1357
65144,2404
65147,3009
65150,2743
65153,1814
65158,643
65162,1787
65167,2964
65169,2817
65172,1966
65175,983
65178,626
65181,1108
65183,2114
65186,2895
65189,2904
65192,2098
65195,1109
65197,622
65200,1002
65203,1988
65206,2851
65209,2967
65211,2250
65214,1236
65217,639
65220,911
65223,1818
65225,2745
65228,3003
65231,2387
65234,1359
65237,676
65239,811
65242,1685
65245,2649
65248,3024
65251,2527
65253,1516
65256,728
65260,1053
65263,2049
65266,2883
65269,2944
65272,2195
65274,1172
65277,629
65280,954
65283,1917
65286,2793
65288,2987
65291,2316
65294,1297
65297,657
65300,841
65302,1722
65305,2672
65308,3022
65311,2480
65314,1478
65316,713
65319,752
65322,1552
65325,2542
65328,3021
65330,2631
65333,1656
65336,794
65339,673
65342,1382
65344,2415
65347,3005
65350,2736
65353,1808
65356,889
65358,639
65361,1242
65364,2280
65367,2959
65370,2830
65372,1953
65375,983
65378,623
65381,1103
65383,2113
65386,2907
65389,2902
65392,2090
65395,1102
65398,620
65400,999
65403,1968
65406,2848
65409,2970
65412,2269
65414,1240
65417,637
65420,877
65423,1775
65425,2721
65428,3015
65431,2451
65434,1447
65437,697
65439,763
65442,1598
65445,2596
65448,3018
65451,2586
65455,1151
65462,1471
65465,2467
65467,3013
65470,2680
65473,1716
65476,841
65479,655
65481,1308
65484,2336
65487,2991
65490,2803
65493,1892
65495,933
65498,622
65501,1190
65504,2191
65507,2944
65509,2889
65512,2032
65515,1034
65518,618
65521,1058
65523,2062
65526,2884
65529,2920
65532,2170
65535,1170
65537,626
65540,944
65543,1863
65546,2771
65549,2998
65551,2358
65554,1328
65557,664
65560,824
65562,1685
65565,2656
65568,3018
65571,2489
65574,1513
65576,724
65579,738
65582,1532
65585,2523
65588,3026
65591,2625
65593,1663
65596,801
65599,680
65602,1373
65604,2393
65607,3005
65610,2735
65613,1813
65616,886
65618,635
65621,1247
65624,2274
65627,2960
65630,2837
65632,1971
65635,983
65638,626
65641,1102
65644,2106
65647,2912
65649,2908
65652,2089
65655,1095
65658,624
65660,996
65663,1964
65666,2844
65669,2967
65672,2262
65675,1239
65677,643
65680,894
65683,1811
65686,2750
65689,3001
65691,2386
65694,1351
65697,680
65700,809
65703,1673
65705,2655
65708,3013
65711,2512
65714,1515
65717,733
65719,749
65722,1534
65725,2521
65728,3017
65731,2630
65733,1652
65736,791
65739,683
65742,1386
65745,2422
65747,3001
65750,2748
65753,1814
65756,892
65760,895
65763,1798
65766,2763
65768,3072
65771,2503
65774,1514
65777,743
65780,817
65782,1654
65785,2657
65788,3084
65791,2650
65794,1631
65796,809
65799,758
65802,1498
65805,2511
65808,3075
65810,2750
65813,1768
65816,892
65819,700
65822,1363
65824,2399
65827,3053
65830,2845
65833,1938
65836,978
65838,680
65841,1237
65844,2245
65847,3008
65850,2920
65852,2087
65855,1095
65858,670
65861,1093
65864,2101
65866,2940
65869,2987
65872,2235
65875,1224
65878,705
65880,990
65883,1915
65886,2835
65889,3049
65892,2408
65894,1372
65897,713
65900,870
65903,1748
65906,2719
65908,3072
65911,2576
65914,1565
65917,785
65920,782
65922,1589
65925,2579
65928,3080
65931,2687
65934,1708
65936,851
65939,722
65942,1419
65945,2433
65947,3057
65950,2806
65953,1901
65956,963
65959,689
65961,1252
65964,2267
65967,2992
65970,2926
65973,2087
65975,1098
65978,662
65981,1102
65984,2105
65987,2941
65989,2990
65992,2242
65995,1224
65998,679
66001,1005
66003,1965
66006,2855
66009,3048
66012,2376
66015,1355
66017,706
66020,884
66023,1780
66026,2737
66029,3077
66031,2523
66034,1505
66037,750
66040,819
66043,1650
66045,2661
66048,3081
66051,2666
66054,1633
66057,809
66061,996
66064,1963
66066,2811
66069,2976
66072,2307
66075,1287
66077,650
66080,855
66083,1748
66086,2704
66089,3015
66091,2451
66094,1448
66097,702
66100,767
66103,1602
66105,2601
66108,3026
66111,2588
66114,1581
66117,757
66119,708
66122,1436
66125,2464
66128,3013
66131,2689
66133,1726
66136,845
66139,655
66142,1306
66145,2340
66147,2996
66150,2792
66153,1893
66156,943
66159,630
66161,1151
66164,2161
66167,2941
66170,2890
66173,2080
66175,1096
66178,626
66181,996
66184,1958
66186,2816
66189,2977
66192,2292
66195,1286
66198,652
66200,838
66203,1743
66206,2706
66209,3017
66212,2449
66214,1411
66217,704
66220,765
66223,1591
66225,2558
66228,3023
66231,2599
66234,1617
66237,774
66239,674
66242,1411
66245,2424
66248,3008
66251,2724
66253,1804
66256,893
66259,635
66262,1232
66264,2231
66267,2958
66270,2849
66273,1963
66276,995
66278,619
66281,1076
66284,2071
66287,2879
66290,2929
66292,2175
66295,1177
66298,629
66301,935
66303,1859
66306,2774
66309,2977
66312,2387
66315,1354
66317,680
66320,805
66323,1674
66326,2656
66329,3017
66331,2513
66334,1515
66337,727
66340,734
66343,1541
66345,2533
66348,3023
66351,2632
66354,1654
66357,800
66359,671
66362,1356
66365,2370
66368,2996
66370,2778
66373,1854
66376,912
66379,632
66382,1199
66384,2200
66387,2944
66390,2863
66393,2030
66396,1036
66398,622
66401,1062
66404,2046
66407,2877
66410,2928
66412,2175
66415,1180
66418,629
66421,936
66424,1862
66426,2772
66429,3000
66432,2354
66435,1320
66438,665
66440,817
66443,1690
66446,2655
66449,3023
66451,2515
66454,1519
66457,730
66460,728
66463,1536
66465,2523
66468,3007
66471,2642
66474,1660
66477,796
66479,679
66482,1381
66485,2409
66488,3004
66491,2718
66494,1800
66496,892
66499,635
66502,1227
66505,2229
66507,2951
66510,2842
66513,1992
66516,1024
66519,618
66521,1056
66524,2048
66527,2881
66530,2934
66533,2175
66535,1169
66538,624
66541,956
66544,1914
66546,2799
66549,2963
66552,2293
66555,1297
66558,647
66560,839
66563,1725
66566,2663
66569,3014
66572,2513
66574,1509
66577,728
66580,738
66583,1548
66586,2529
66588,3023
66591,2631
66594,1656
66597,796
66600,680
66602,1382
66605,2413
66608,3002
66611,2732
66614,1810
66616,895
66619,674
66622,1365
66625,2378
66628,2992
66631,2779
66633,1913
66636,942
66639,644
66642,1189
66645,2177
66647,2938
66650,2878
66653,2033
66656,1027
66659,623
66661,1058
66664,2059
66667,2882
66670,2935
66673,2191
66675,1172
66678,627
66681,956
66684,1922
66687,2801
66689,2981
66692,2316
66695,1298
66698,652
66701,842
66703,1719
66706,2684
66709,3021
66712,2519
66714,1523
66717,730
66720,737
66723,1537
66726,2517
66728,3022
66731,2641
66734,1652
66737,795
66740,672
66742,1382
66745,2413
66748,3009
66751,2728
66754,1801
66756,895
66759,641
66762,1260
66765,2281
66768,2967
66770,2831
66773,1955
66776,984
66779,626
66782,1106
66784,2122
66787,2905
66790,2900
66793,2088
66796,1104
66798,600
66801,1004
66804,1992
66807,2851
66810,2962
66812,2249
66815,1219
66818,636
66821,904
66824,1817
66826,2751
66829,3002
66832,2388
66835,1362
66838,671
66840,804
66843,1666
66846,2644
66849,3022
66852,2528
66855,1517
66857,725
66860,738
66863,1538
66866,2523
66869,3026
66871,2623
66874,1650
66877,794
66880,680
66883,1383
66885,2421
66888,3013
66891,2723
66894,1805
66897,890
66899,641
66902,1241
66905,2273
66908,2955
66911,2831
66913,1950
66916,992
66919,626
66922,1104
66925,2107
66927,2913
66930,2901
66933,2092
66936,1103
66939,622
66941,992
66944,1975
66947,2844
66950,2962
66953,2263
66955,1236
66958,643
66961,900
66964,1813
66967,2757
66969,2992
66972,2386
66975,1352
66978,672
66981,813
66983,1668
66986,2659
66989,3019
66992,2515
66995,1515
66997,739
67000,729
67003,1492
67006,2496
67008,3017
67011,2688
67014,1725
67017,843
67020,657
67022,1312
67025,2345
67028,2979
67031,2780
67034,1888
67036,935
67039,627
67042,1196
67045,2194
67048,2939
67051,2864
67053,2025
67056,1005
67063,1340
67065,2342
67068,2994
67071,2789
67074,1879
67076,934
67079,636
67082,1190
67085,2185
67088,2945
67091,2859
67093,2035
67096,1042
67099,618
67102,1055
67104,2043
67107,2881
67110,2939
67113,2187
67116,1166
67119,630
67121,949
67124,1922
67127,2776
67130,2984
67133,2312
67135,1297
67138,654
67142,1303
67145,2346
67148,3026
67151,2893
67154,2008
67156,1036
67159,671
67162,1149
67165,2166
67168,2967
67170,2971
67173,2176
67176,1173
67179,665
67182,1049
67184,2023
67187,2911
67190,3023
67193,2305
67196,1270
67200,655
67203,1307
67205,2334
67215,1407
67218,726
67221,857
67224,1725
67226,2710
67231,2832
67234,1901
67237,955
67239,680
67242,1258
67245,2266
67248,3001
67251,2921
67253,2092
67256,1080
