Timestamps,Volts
3148.55,1.29
3148.551,1.28
3148.552,1.32
3148.553,1.34
3148.555,1.34
3148.556,1.33
3148.557,1.36
3148.558,1.35
3148.56,1.31
3148.561,1.32
3148.562,1.31
3148.563,1.3
3148.565,1.27
3148.566,1.29
3148.567,1.29
3148.568,1.32
3148.57,1.33
3148.571,1.35
3148.572,1.34
3148.573,1.34
3148.575,1.33
3148.576,1.31
3148.577,1.28
3148.578,1.31
3148.58,1.28
3148.581,1.27
3148.582,1.3
3148.583,1.22
3148.585,1.26
3148.586,1.31
3148.587,1.31
3148.588,1.34
3148.59,1.35
3148.591,1.32
3148.592,1.35
3148.593,1.34
3148.595,1.32
3148.596,1.33
3148.597,1.29
3148.598,1.27
3148.6,1.3
3148.601,1.31
3148.602,1.32
3148.603,1.34
3148.605,1.32
3148.606,1.26
3148.607,1.27
3148.608,1.28
3148.61,1.3
3148.611,1.31
3148.612,1.3
3148.613,1.3
3148.615,1.31
3148.616,1.28
3148.617,1.28
3148.618,1.28
3148.62,1.32
3148.621,1.31
3148.622,1.32
3148.623,1.32
3148.625,1.33
3148.626,1.33
3148.627,1.31
3148.628,1.32
3148.63,1.32
3148.631,1.3
3148.632,1.31
3148.633,1.32
3148.635,1.3
3148.636,1.31
3148.637,1.31
3148.638,1.34
3148.64,1.34
3148.641,1.34
3148.642,1.35
3148.643,1.35
3148.645,1.35
3148.646,1.33
3148.647,1.31
3148.649,1.29
3148.65,1.28
3148.651,1.3
3148.652,1.33
3148.653,1.32
3148.655,1.34
3148.656,1.37
3148.657,1.36
3148.659,1.33
3148.66,1.3
3148.661,1.29
3148.662,1.28
3148.664,1.27
3148.665,1.19
3148.666,1.15
3148.667,1.22
3148.669,1.28
3148.67,1.29
3148.671,1.33
3148.672,1.34
3148.674,1.35
3148.675,1.32
3148.676,1.29
3148.677,1.31
3148.679,1.29
3148.68,1.26
3148.681,1.28
3148.682,1.29
3148.684,1.31
3148.685,1.29
3148.686,1.28
3148.687,1.32
3148.689,1.36
3148.69,1.32
3148.691,1.32
3148.692,1.33
3148.694,1.31
3148.695,1.31
3148.696,1.32
3148.697,1.29
3148.699,1.28
3148.7,1.32
3148.701,1.33
3148.702,1.32
3148.704,1.33
3148.705,1.32
3148.706,1.33
3148.707,1.34
3148.709,1.32
3148.71,1.33
3148.711,1.33
3148.712,1.31
3148.714,1.29
3148.715,1.28
3148.716,1.2
3148.717,1.27
3148.719,1.3
3148.72,1.34
3148.721,1.32
3148.722,1.34
3148.724,1.35
3148.725,1.37
3148.726,1.36
3148.727,1.32
3148.729,1.3
3148.73,1.3
3148.731,1.3
3148.732,1.26
3148.734,1.25
3148.735,1.29
3148.736,1.32
3148.737,1.31
3148.739,1.34
3148.74,1.35
3148.741,1.33
3148.742,1.36
3148.744,1.35
3148.745,1.35
3148.746,1.33
3148.747,1.3
3148.749,1.21
3148.75,1.26
3148.751,1.28
3148.752,1.31
3148.754,1.32
3148.755,1.31
3148.756,1.3
3148.757,1.31
3148.759,1.33
3148.76,1.33
3148.761,1.3
3148.762,1.31
3148.764,1.31
3148.765,1.28
3148.766,1.28
3148.767,1.28
3148.769,1.28
3148.77,1.29
3148.771,1.31
3148.772,1.31
3148.774,1.3
3148.775,1.31
3148.776,1.31
3148.777,1.28
3148.779,1.3
3148.78,1.29
3148.781,1.27
3148.782,1.29
3148.784,1.28
3148.785,1.29
3148.786,1.33
3148.787,1.3
3148.789,1.35
3148.79,1.37
3148.791,1.35
3148.792,1.32
3148.794,1.33
3148.795,1.32
3148.796,1.29
3148.797,1.3
3148.799,1.29
3148.8,1.29
3148.801,1.29
3148.802,1.29
3148.804,1.33
3148.805,1.35
3148.806,1.36
3148.807,1.35
3148.809,1.36
3148.81,1.33
3148.811,1.32
3148.812,1.3
3148.814,1.3
3148.815,1.28
3148.816,1.3
3148.817,1.22
3148.819,1.27
3148.82,1.29
3148.821,1.33
3148.822,1.33
3148.824,1.34
3148.825,1.34
3148.826,1.32
3148.827,1.3
3148.829,1.27
3148.83,1.25
3148.831,1.27
3148.832,1.28
3148.834,1.3
3148.835,1.3
3148.836,1.31
3148.838,1.33
3148.839,1.34
3148.84,1.33
3148.841,1.33
3148.843,1.34
3148.844,1.32
3148.845,1.32
3148.846,1.29
3148.848,1.27
3148.849,1.28
3148.85,1.3
3148.851,1.3
3148.853,1.3
3148.854,1.32
3148.855,1.32
3148.856,1.36
3148.858,1.35
3148.859,1.37
3148.86,1.34
3148.861,1.32
3148.863,1.33
3148.864,1.28
3148.865,1.27
3148.866,1.3
3148.868,1.31
3148.869,1.3
3148.87,1.33
3148.871,1.31
3148.873,1.35
3148.874,1.33
3148.875,1.33
3148.876,1.33
3148.878,1.33
3148.879,1.33
3148.88,1.29
3148.881,1.29
3148.883,1.32
3148.884,1.31
3148.885,1.32
3148.886,1.34
3148.888,1.33
3148.889,1.35
3148.89,1.33
3148.891,1.32
3148.893,1.34
3148.894,1.35
3148.895,1.34
3148.896,1.29
3148.898,1.29
3148.899,1.27
3148.9,1.27
3148.901,1.3
3148.903,1.31
3148.904,1.3
3148.905,1.32
3148.906,1.33
3148.908,1.33
3148.909,1.31
3148.91,1.3
3148.911,1.22
3148.913,1.21
3148.914,1.26
3148.915,1.27
3148.916,1.3
3148.918,1.31
3148.919,1.23
3148.92,1.28
3148.921,1.23
3148.923,1.29
3148.924,1.32
3148.925,1.32
3148.926,1.3
3148.928,1.32
3148.929,1.23
3148.93,1.27
3148.931,1.27
3148.933,1.28
3148.934,1.28
3148.935,1.28
3148.936,1.3
3148.938,1.33
3148.939,1.35
3148.94,1.34
3148.941,1.35
3148.943,1.33
3148.944,1.34
3148.945,1.31
3148.946,1.27
3148.948,1.27
3148.949,1.26
3148.95,1.26
3148.951,1.3
3148.953,1.23
3148.954,1.29
3148.955,1.29
3148.956,1.3
3148.958,1.35
3148.959,1.36
3148.96,1.32
3148.961,1.28
3148.963,1.27
3148.964,1.27
3148.965,1.29
3148.966,1.28
3148.968,1.3
3148.969,1.29
3148.97,1.3
3148.971,1.3
3148.973,1.31
3148.974,1.35
3148.975,1.33
3148.976,1.35
3148.978,1.34
3148.979,1.31
3148.98,1.32
3148.981,1.31
3148.983,1.3
3148.984,1.29
3148.985,1.28
3148.986,1.32
3148.988,1.34
3148.989,1.36
3148.99,1.35
3148.991,1.35
3148.993,1.34
3148.994,1.33
3148.995,1.33
3148.996,1.29
3148.998,1.28
3148.999,1.29
3149,1.31
3149.001,1.3
3149.003,1.3
3149.004,1.29
3149.005,1.29
3149.006,1.32
3149.008,1.32
3149.009,1.32
3149.01,1.34
3149.011,1.33
3149.013,1.32
3149.014,1.29
3149.015,1.29
3149.016,1.3
3149.018,1.31
3149.019,1.3
3149.02,1.3
3149.021,1.31
3149.023,1.35
3149.024,1.34
3149.025,1.31
3149.027,1.3
3149.028,1.31
3149.029,1.3
3149.03,1.3
3149.032,1.28
3149.033,1.29
3149.034,1.28
3149.035,1.28
3149.037,1.31
3149.038,1.34
3149.039,1.35
3149.04,1.27
3149.042,1.32
3149.043,1.34
3149.044,1.31
3149.045,1.31
3149.047,1.3
3149.048,1.29
3149.049,1.3
3149.05,1.31
3149.052,1.32
3149.053,1.33
3149.054,1.32
3149.055,1.35
3149.057,1.33
3149.058,1.34
3149.059,1.36
3149.06,1.34
3149.062,1.33
3149.063,1.33
3149.064,1.29
3149.065,1.27
3149.067,1.26
3149.068,1.2
3149.069,1.17
3149.07,1.23
3149.072,1.3
3149.073,1.31
3149.074,1.33
3149.075,1.35
3149.077,1.34
3149.078,1.31
3149.079,1.3
3149.08,1.29
3149.082,1.3
3149.083,1.31
3149.084,1.3
3149.085,1.31
3149.087,1.32
3149.088,1.31
3149.089,1.31
3149.09,1.34
3149.092,1.26
3149.093,1.28
3149.094,1.3
3149.095,1.32
3149.097,1.3
3149.098,1.3
3149.099,1.29
3149.1,1.31
3149.102,1.31
3149.103,1.33
3149.104,1.25
3149.105,1.31
3149.107,1.25
3149.108,1.31
3149.109,1.31
3149.11,1.33
3149.112,1.3
3149.113,1.29
3149.114,1.28
3149.115,1.27
3149.117,1.28
3149.118,1.27
3149.119,1.28
3149.12,1.31
3149.122,1.31
3149.123,1.35
3149.124,1.35
3149.125,1.32
3149.127,1.33
3149.128,1.32
3149.129,1.32
3149.13,1.31
3149.132,1.31
3149.133,1.3
3149.134,1.3
3149.135,1.29
3149.137,1.33
3149.138,1.32
3149.139,1.33
3149.14,1.34
3149.142,1.35
3149.143,1.36
3149.144,1.37
3149.145,1.35
3149.147,1.29
3149.148,1.27
3149.149,1.29
3149.15,1.28
3149.152,1.28
3149.153,1.32
3149.154,1.32
3149.155,1.31
3149.157,1.32
3149.158,1.34
3149.159,1.33
3149.16,1.25
3149.162,1.29
3149.163,1.29
3149.164,1.29
3149.165,1.28
3149.167,1.29
3149.168,1.31
3149.169,1.33
3149.17,1.33
3149.172,1.31
3149.173,1.34
3149.174,1.34
3149.175,1.35
3149.177,1.32
3149.178,1.3
3149.179,1.3
3149.18,1.28
3149.182,1.28
3149.183,1.26
3149.184,1.2
3149.185,1.26
3149.187,1.31
3149.188,1.34
3149.189,1.26
3149.19,1.28
3149.192,1.29
3149.193,1.32
3149.194,1.33
3149.195,1.33
3149.197,1.29
3149.198,1.26
3149.199,1.2
3149.2,1.26
3149.202,1.27
3149.203,1.31
3149.204,1.33
3149.205,1.32
3149.207,1.25
3149.208,1.28
3149.209,1.31
3149.21,1.3
3149.212,1.28
3149.213,1.29
3149.214,1.28
3149.215,1.28
3149.217,1.27
3149.218,1.3
3149.219,1.33
3149.22,1.35
3149.222,1.36
3149.223,1.33
3149.224,1.34
3149.225,1.35
3149.227,1.36
3149.228,1.35
3149.229,1.33
3149.23,1.31
