Timestamps,Volts
3255.577,1.33
3255.578,1.35
3255.579,1.37
3255.58,1.35
3255.582,1.31
3255.583,1.29
3255.584,1.29
3255.585,1.29
3255.587,1.27
3255.588,1.29
3255.589,1.29
3255.59,1.31
3255.592,1.31
3255.593,1.31
3255.594,1.3
3255.595,1.32
3255.597,1.25
3255.598,1.3
3255.599,1.28
3255.6,1.27
3255.602,1.28
3255.603,1.3
3255.604,1.29
3255.605,1.28
3255.607,1.22
3255.608,1.25
3255.609,1.28
3255.61,1.3
3255.612,1.24
3255.613,1.26
3255.614,1.31
3255.615,1.32
3255.617,1.3
3255.618,1.31
3255.619,1.31
3255.62,1.3
3255.622,1.31
3255.623,1.32
3255.624,1.34
3255.625,1.26
3255.627,1.32
3255.628,1.33
3255.629,1.35
3255.63,1.33
3255.632,1.33
3255.633,1.32
3255.634,1.28
3255.635,1.27
3255.637,1.28
3255.638,1.29
3255.639,1.32
3255.64,1.34
3255.642,1.35
3255.643,1.34
3255.644,1.36
3255.645,1.34
3255.647,1.32
3255.648,1.32
3255.649,1.32
3255.651,1.3
3255.652,1.3
3255.653,1.29
3255.654,1.3
3255.656,1.31
3255.657,1.33
3255.658,1.35
3255.659,1.35
3255.661,1.34
3255.662,1.35
3255.663,1.33
3255.664,1.33
3255.666,1.24
3255.667,1.24
3255.668,1.25
3255.669,1.25
3255.671,1.26
3255.672,1.29
3255.673,1.32
3255.674,1.34
3255.676,1.32
3255.677,1.33
3255.678,1.34
3255.679,1.33
3255.681,1.32
3255.682,1.29
3255.683,1.31
3255.684,1.29
3255.686,1.28
3255.687,1.27
3255.688,1.31
3255.689,1.33
3255.691,1.32
3255.692,1.25
3255.693,1.27
3255.694,1.32
3255.696,1.31
3255.697,1.33
3255.698,1.32
3255.699,1.33
3255.701,1.3
3255.702,1.31
3255.703,1.21
3255.704,1.24
3255.706,1.25
3255.707,1.26
3255.708,1.27
3255.709,1.3
3255.711,1.33
3255.712,1.32
3255.713,1.32
3255.714,1.3
3255.716,1.22
3255.717,1.24
3255.718,1.27
3255.719,1.29
3255.721,1.28
3255.722,1.29
3255.723,1.32
3255.724,1.33
3255.726,1.32
3255.727,1.32
3255.728,1.34
3255.729,1.32
3255.731,1.25
3255.732,1.29
3255.733,1.28
3255.734,1.3
3255.736,1.31
3255.737,1.32
3255.738,1.29
3255.739,1.3
3255.741,1.23
3255.742,1.3
3255.743,1.33
3255.744,1.36
3255.746,1.33
3255.747,1.31
3255.748,1.32
3255.749,1.32
3255.751,1.32
3255.752,1.28
3255.753,1.28
3255.754,1.31
3255.756,1.32
3255.757,1.34
3255.758,1.33
3255.759,1.34
3255.761,1.35
3255.762,1.31
3255.763,1.31
3255.764,1.32
3255.766,1.3
3255.767,1.28
3255.768,1.27
3255.769,1.31
3255.771,1.28
3255.772,1.3
3255.773,1.3
3255.774,1.33
3255.776,1.33
3255.777,1.36
3255.778,1.35
3255.779,1.34
3255.781,1.34
3255.782,1.35
3255.783,1.34
3255.784,1.31
3255.786,1.31
3255.787,1.29
3255.788,1.21
3255.789,1.26
3255.791,1.3
3255.792,1.31
3255.793,1.33
3255.794,1.35
3255.796,1.35
3255.797,1.33
3255.798,1.34
3255.799,1.3
3255.801,1.29
3255.802,1.27
3255.803,1.3
3255.804,1.31
3255.806,1.31
3255.807,1.33
3255.808,1.3
3255.809,1.25
3255.811,1.3
3255.812,1.31
3255.813,1.3
3255.814,1.29
3255.816,1.31
3255.817,1.32
3255.818,1.29
3255.819,1.29
3255.821,1.31
3255.822,1.29
3255.823,1.32
3255.824,1.31
3255.826,1.31
3255.827,1.35
3255.828,1.37
3255.83,1.35
3255.831,1.33
3255.832,1.31
3255.833,1.29
3255.835,1.27
3255.836,1.26
3255.837,1.28
3255.838,1.29
3255.84,1.32
3255.841,1.33
3255.842,1.36
3255.843,1.27
3255.845,1.3
3255.846,1.3
3255.847,1.29
3255.848,1.21
3255.85,1.24
3255.851,1.26
3255.852,1.27
3255.853,1.25
3255.855,1.28
3255.856,1.28
3255.857,1.31
3255.858,1.34
3255.86,1.26
3255.861,1.29
3255.862,1.34
3255.863,1.32
3255.865,1.35
3255.866,1.31
3255.867,1.31
3255.868,1.28
3255.87,1.26
3255.871,1.29
3255.872,1.28
3255.873,1.29
3255.875,1.33
3255.876,1.33
3255.877,1.34
3255.878,1.36
3255.88,1.37
3255.881,1.36
3255.882,1.32
3255.883,1.32
3255.885,1.29
