Timestamps,Volts
3481.992,1.31
3481.993,1.31
3481.995,1.32
3481.996,1.31
3481.997,1.33
3481.998,1.33
3482,1.33
3482.001,1.32
3482.002,1.29
3482.003,1.31
3482.005,1.3
3482.006,1.29
3482.007,1.28
3482.008,1.32
3482.01,1.33
3482.011,1.36
3482.012,1.36
3482.013,1.36
3482.015,1.33
3482.016,1.32
3482.017,1.3
3482.018,1.28
3482.02,1.29
3482.021,1.27
3482.022,1.27
3482.023,1.3
3482.025,1.33
3482.026,1.31
3482.027,1.34
3482.028,1.36
3482.03,1.34
3482.031,1.34
3482.032,1.32
3482.033,1.29
3482.035,1.28
3482.036,1.27
3482.037,1.26
3482.038,1.27
3482.04,1.3
3482.041,1.33
3482.042,1.31
3482.043,1.34
3482.045,1.32
3482.046,1.31
3482.047,1.32
3482.048,1.31
3482.05,1.32
3482.051,1.22
3482.052,1.25
3482.053,1.25
3482.055,1.28
3482.056,1.21
3482.057,1.27
3482.058,1.31
3482.06,1.34
3482.061,1.33
3482.062,1.34
3482.063,1.33
3482.065,1.32
3482.066,1.33
3482.067,1.31
3482.068,1.31
3482.07,1.29
3482.071,1.29
3482.072,1.31
3482.073,1.32
3482.075,1.32
3482.076,1.34
3482.077,1.34
3482.078,1.35
3482.08,1.35
3482.081,1.32
3482.082,1.33
3482.083,1.32
3482.085,1.32
3482.086,1.27
3482.087,1.29
3482.089,1.31
3482.09,1.31
3482.091,1.32
3482.092,1.32
3482.094,1.33
3482.095,1.31
3482.096,1.32
3482.097,1.32
3482.099,1.33
3482.1,1.34
3482.101,1.31
3482.102,1.22
3482.104,1.25
3482.105,1.29
3482.106,1.28
3482.107,1.3
3482.109,1.32
3482.11,1.36
3482.111,1.35
3482.112,1.36
3482.114,1.36
3482.115,1.36
3482.116,1.34
3482.117,1.31
3482.119,1.33
3482.12,1.3
3482.121,1.29
3482.122,1.32
3482.124,1.32
3482.125,1.32
3482.126,1.32
3482.127,1.35
3482.129,1.36
3482.13,1.27
3482.131,1.3
3482.132,1.23
3482.134,1.26
3482.135,1.29
3482.136,1.27
3482.137,1.26
3482.139,1.27
3482.14,1.3
3482.141,1.33
3482.142,1.34
3482.144,1.33
3482.145,1.34
3482.146,1.35
3482.147,1.31
3482.149,1.33
3482.15,1.33
3482.151,1.33
3482.152,1.3
3482.154,1.21
3482.155,1.24
3482.156,1.25
3482.157,1.31
3482.159,1.33
3482.16,1.35
3482.161,1.35
3482.162,1.34
3482.164,1.33
3482.165,1.31
3482.166,1.3
3482.167,1.29
3482.169,1.28
3482.17,1.28
3482.171,1.27
3482.172,1.28
3482.174,1.27
3482.175,1.31
3482.176,1.33
3482.177,1.36
3482.179,1.36
3482.18,1.36
3482.181,1.34
3482.182,1.31
3482.184,1.3
3482.185,1.3
3482.186,1.3
3482.187,1.21
3482.189,1.26
3482.19,1.31
3482.191,1.34
3482.192,1.35
3482.194,1.33
3482.195,1.32
3482.196,1.34
3482.197,1.33
3482.199,1.32
3482.2,1.33
3482.201,1.3
3482.202,1.3
3482.204,1.28
3482.205,1.31
3482.206,1.31
3482.207,1.31
3482.209,1.32
3482.21,1.35
3482.211,1.36
3482.212,1.27
3482.214,1.3
3482.215,1.33
3482.216,1.3
3482.217,1.3
3482.219,1.31
3482.22,1.29
3482.221,1.2
3482.222,1.28
3482.224,1.3
3482.225,1.32
3482.226,1.3
3482.227,1.34
3482.229,1.36
3482.23,1.34
3482.231,1.33
3482.232,1.3
3482.234,1.27
3482.235,1.3
3482.236,1.3
3482.237,1.3
3482.239,1.3
3482.24,1.3
3482.241,1.29
3482.242,1.32
3482.244,1.35
3482.245,1.34
3482.246,1.36
3482.247,1.36
3482.249,1.36
3482.25,1.31
3482.251,1.31
3482.252,1.32
3482.254,1.31
3482.255,1.31
3482.256,1.32
3482.257,1.31
3482.259,1.34
3482.26,1.34
3482.261,1.34
3482.262,1.33
3482.264,1.34
3482.265,1.34
3482.266,1.31
3482.268,1.33
3482.269,1.33
3482.27,1.3
3482.271,1.31
3482.273,1.29
3482.274,1.3
3482.275,1.3
3482.276,1.3
3482.278,1.31
3482.279,1.33
3482.28,1.33
3482.281,1.33
3482.283,1.31
3482.284,1.22
3482.285,1.23
3482.286,1.25
3482.288,1.28
3482.289,1.3
3482.29,1.29
3482.291,1.33
3482.293,1.35
3482.294,1.31
3482.295,1.35
3482.296,1.35
3482.298,1.35
3482.299,1.34
3482.3,1.31
3482.301,1.29
3482.303,1.28
3482.304,1.29
3482.305,1.28
3482.306,1.31
3482.308,1.32
3482.309,1.34
3482.31,1.32
3482.311,1.35
3482.313,1.34
3482.314,1.33
3482.315,1.34
3482.316,1.34
3482.318,1.29
3482.319,1.28
3482.32,1.27
3482.321,1.28
3482.323,1.27
3482.324,1.29
3482.325,1.33
3482.326,1.33
3482.328,1.34
3482.329,1.33
3482.33,1.31
3482.331,1.33
3482.333,1.32
3482.334,1.28
3482.335,1.29
3482.336,1.28
3482.338,1.28
3482.339,1.31
3482.34,1.32
3482.341,1.34
3482.343,1.32
3482.344,1.35
3482.345,1.34
3482.346,1.34
3482.348,1.35
3482.349,1.31
3482.35,1.29
3482.351,1.28
3482.353,1.29
3482.354,1.28
3482.355,1.28
3482.356,1.28
3482.358,1.32
3482.359,1.31
3482.36,1.35
3482.361,1.33
3482.363,1.32
3482.364,1.32
3482.365,1.34
3482.366,1.31
3482.368,1.31
3482.369,1.31
3482.37,1.32
3482.371,1.31
3482.373,1.29
3482.374,1.28
3482.375,1.31
3482.376,1.33
3482.378,1.35
3482.379,1.36
3482.38,1.37
3482.381,1.33
3482.383,1.33
3482.384,1.33
3482.385,1.33
3482.386,1.32
3482.388,1.3
3482.389,1.27
3482.39,1.28
3482.391,1.31
3482.393,1.33
3482.394,1.37
3482.395,1.35
3482.396,1.34
3482.398,1.32
3482.399,1.29
3482.4,1.3
3482.401,1.3
3482.403,1.31
3482.404,1.31
3482.405,1.33
3482.406,1.33
3482.408,1.34
3482.409,1.31
3482.41,1.31
3482.411,1.25
3482.413,1.26
3482.414,1.28
3482.415,1.31
3482.416,1.29
3482.418,1.28
3482.419,1.28
3482.42,1.27
3482.421,1.26
3482.423,1.29
3482.424,1.31
3482.425,1.31
3482.426,1.32
3482.428,1.32
3482.429,1.34
3482.43,1.36
3482.431,1.33
3482.433,1.29
3482.434,1.29
3482.435,1.29
3482.436,1.31
3482.438,1.31
3482.439,1.23
3482.44,1.24
3482.441,1.3
3482.443,1.33
3482.444,1.24
3482.445,1.32
3482.447,1.32
3482.448,1.32
3482.449,1.32
3482.45,1.31
3482.452,1.22
3482.453,1.23
3482.454,1.27
3482.455,1.3
3482.457,1.28
3482.458,1.28
3482.459,1.29
3482.46,1.3
3482.462,1.24
3482.463,1.3
3482.464,1.33
3482.465,1.33
3482.467,1.31
3482.468,1.32
3482.469,1.3
3482.47,1.29
3482.472,1.29
3482.473,1.31
3482.474,1.32
3482.475,1.32
3482.477,1.34
3482.478,1.32
3482.479,1.34
3482.48,1.32
3482.482,1.31
3482.483,1.31
3482.484,1.32
3482.485,1.33
3482.487,1.3
3482.488,1.27
3482.489,1.27
3482.49,1.28
3482.492,1.31
3482.493,1.33
3482.494,1.36
3482.495,1.33
3482.497,1.33
3482.498,1.33
3482.499,1.34
3482.5,1.33
3482.502,1.32
3482.503,1.29
3482.504,1.29
3482.505,1.3
3482.507,1.28
3482.508,1.3
3482.509,1.33
3482.51,1.32
