Time,Volt_In
3033863,2897
3033864,2725
3033865,2515
3033865,2267
3033866,2016
3033867,1755
3033868,1519
3033869,1310
3033869,1162
3033870,1067
3033871,1021
3033872,1056
3033873,1149
3033874,1306
3033874,1501
3033875,1759
3033876,1996
3033877,2272
3033878,2514
3033879,2726
3033879,2891
3033880,3009
3033881,3032
3033882,2998
3033883,2905
3033884,2744
3033884,2547
3033885,2310
3033886,2051
3033887,1780
3033888,1541
3033889,1318
3033890,1171
3033890,1065
3033891,1018
3033892,1049
3033893,1148
3033894,1306
3033895,1510
3033895,1761
3033896,1997
3033897,2266
3033898,2509
3033899,2723
3033900,2888
3033900,2999
3033901,3022
3033902,3006
3033903,2913
3033904,2778
3033904,2584
3033905,2361
3033906,2121
3033907,1863
3033908,1596
3033908,1385
3033909,1219
3033910,1083
3033911,1022
3033912,1033
3033913,1112
3033913,1264
3033914,1463
3033915,1672
3033916,1938
3033917,2197
3033918,2426
3033918,2648
3033919,2824
3033920,2951
3033921,3018
3033922,3022
3033923,2955
3033923,2821
3033924,2636
3033925,2427
3033926,2176
3033927,1926
3033927,1691
3033928,1466
3033929,1274
3033930,1128
3033931,1041
3033932,1019
3033932,1097
3033933,1187
3033934,1351
3033935,1570
3033936,1829
3033937,2109
3033937,2376
3033938,2574
3033939,2786
3033940,2919
3033941,3009
3033941,3030
3033942,3000
3033943,2879
3033944,2706
3033945,2486
3033946,2247
3033946,1988
3033947,1741
3033948,1529
3033949,1300
3033950,1143
3033951,1043
3033951,1029
3033952,1063
3033953,1159
3033954,1317
3033955,1530
3033956,1784
3033956,2058
3033957,2291
3033958,2527
3033959,2739
3033960,2902
3033961,3001
3033961,3055
3033962,2996
3033963,2889
3033964,2747
3033965,2507
3033966,2283
3033966,2017
3033967,1765
3033968,1522
3033969,1314
3033970,1153
3033971,1054
3033971,1029
3033972,1064
3033973,1163
3033974,1324
3033975,1542
3033976,1785
3033976,2071
3033977,2303
3033978,2527
3033979,2745
3033980,2901
3033981,3002
3033981,3057
3033982,2994
3033983,2894
3033984,2717
3033985,2514
3033986,2268
3033986,2020
3033987,1768
3033988,1515
3033989,1313
3033990,1166
3033991,1058
3033991,1019
3033992,1053
3033993,1142
3033994,1316
3033995,1516
3033996,1755
3033996,1990
3033997,2266
3033998,2518
3033999,2734
3034000,2886
3034001,3004
3034001,3036
3034002,2997
3034003,2899
3034004,2751
3034005,2536
3034006,2305
3034006,2060
3034007,1788
3034008,1539
3034009,1329
3034010,1160
3034011,1071
3034011,1021
3034012,1052
3034013,1153
3034014,1314
3034015,1507
3034016,1751
3034016,1995
3034017,2268
3034018,2515
3034019,2727
3034020,2889
3034021,2996
3034021,3017
3034022,2998
3034023,2923
3034024,2781
3034025,2600
3034025,2364
3034026,2104
3034027,1825
3034028,1571
3034029,1371
3034030,1195
3034030,1087
3034031,1022
3034032,1037
3034033,1115
3034034,1270
3034035,1463
3034035,1681
3034036,1925
3034037,2188
3034038,2449
3034039,2666
3034040,2864
3034040,2973
3034041,3020
3034042,3019
3034043,2930
3034044,2803
3034045,2619
3034045,2377
3034046,2131
3034047,1867
3034048,1602
3034049,1386
3034050,1207
3034050,1082
3034051,1027
3034052,1031
3034053,1116
3034054,1253
3034055,1458
3034055,1676
3034056,1915
3034057,2200
3034058,2440
3034059,2662
3034060,2871
3034060,2960
3034061,3024
3034062,3017
3034063,2935
3034064,2801
3034065,2619
3034065,2384
3034066,2137
3034067,1863
3034068,1629
3034069,1411
3034069,1227
3034070,1100
3034071,1035
3034072,1025
3034073,1102
3034074,1243
3034074,1399
3034075,1611
3034076,1871
3034077,2150
3034078,2395
3034079,2644
3034079,2816
3034080,2947
3034081,3012
3034082,3010
3034083,2956
3034084,2841
3034084,2646
3034085,2439
3034086,2179
3034087,1902
3034088,1649
3034089,1425
3034089,1235
3034090,1111
3034091,1031
3034092,1022
3034093,1102
3034094,1235
3034094,1399
3034095,1630
3034096,1880
3034097,2146
3034098,2407
3034099,2650
3034099,2806
3034100,2945
3034101,3022
3034102,3027
3034103,2960
3034104,2843
3034104,2658
3034105,2429
3034106,2167
3034107,1900
3034108,1649
3034109,1427
3034109,1235
3034110,1104
3034111,1031
3034112,1039
3034113,1101
3034114,1234
3034114,1399
3034115,1616
3034116,1878
3034117,2137
3034118,2379
3034119,2599
3034119,2789
3034120,2934
3034121,3021
3034122,3023
3034123,2976
3034124,2847
3034124,2674
3034125,2448
3034126,2195
3034127,1938
3034128,1685
3034129,1469
3034129,1256
3034130,1110
3034131,1039
3034132,1019
3034133,1091
3034134,1202
3034134,1365
3034135,1568
3034136,1829
3034137,2106
3034138,2370
3034139,2574
3034139,2770
3034140,2921
3034141,3001
3034142,3026
3034143,2994
3034144,2866
3034144,2691
3034145,2478
3034146,2227
3034147,1956
3034148,1710
3034149,1473
3034149,1279
3034150,1128
3034151,1047
3034152,1016
3034153,1091
3034154,1185
3034154,1354
3034155,1574
3034156,1826
3034157,2092
3034158,2367
3034159,2577
3034159,2786
3034160,2926
3034161,3003
3034162,3034
3034163,2990
3034164,2863
3034164,2699
3034165,2470
3034166,2227
3034167,1966
3034168,1705
3034169,1475
3034169,1274
3034170,1137
3034171,1039
3034172,1030
3034173,1091
3034174,1191
3034174,1347
3034175,1571
3034176,1804
3034177,2071
3034178,2312
3034179,2553
3034179,2761
3034180,2917
3034181,2992
3034182,3034
3034183,2992
3034184,2875
3034184,2709
3034185,2488
3034186,2254
3034187,1997
3034188,1739
3034189,1495
3034189,1285
3034190,1124
3034191,1044
3034192,1022
3034193,1062
3034193,1164
3034194,1326
3034195,1514
3034196,1762
3034197,1997
3034197,2241
3034198,2482
3034199,2713
3034200,2875
3034201,3015
3034202,3031
3034202,3009
3034203,2916
3034204,2764
3034205,2562
3034206,2333
3034207,2081
3034207,1815
3034208,1572
3034209,1343
3034210,1184
3034211,1068
3034212,1020
3034212,1041
3034213,1137
3034214,1291
3034215,1493
3034216,1732
3034217,1975
3034217,2244
3034218,2490
3034219,2703
3034220,2889
3034221,3009
3034222,3030
3034222,3009
3034223,2915
3034224,2774
3034225,2582
3034226,2360
3034227,2093
3034227,1840
3034228,1587
3034229,1358
3034230,1195
3034231,1078
3034232,1032
3034232,1046
3034233,1132
3034234,1270
3034235,1467
3034236,1685
3034237,1941
3034237,2227
3034238,2473
