Time,Volt_In,Volt_Out
763317,664,0
763327,664,0
763337,665,0
763348,664,0
763358,664,0
763368,663,0
763378,662,0
763388,664,0
763398,663,0
763408,664,0
763418,661,0
763428,661,0
763438,664,0
763448,667,0
763458,668,0
763468,664,0
763478,666,0
763488,668,0
763498,665,0
763508,664,0
763518,662,0
763529,664,0
763539,667,0
763549,667,0
763559,667,0
763569,663,0
763579,667,0
763589,662,0
763599,661,0
763609,667,0
763619,663,0
763629,661,0
763639,660,0
763649,662,0
763659,666,0
763669,661,0
763679,666,0
763689,660,0
763699,658,0
763710,664,0
763720,663,0
763730,667,0
763740,664,0
763750,715,3300
763760,697,3300
763770,693,3300
763780,696,3300
763790,690,3300
763800,638,0
763810,646,0
763820,650,0
763830,655,0
763840,658,0
763850,657,0
763860,653,0
763870,659,0
763880,660,0
763891,661,0
763901,661,0
763911,659,0
763921,663,0
763931,660,0
763941,663,0
763951,666,0
763961,660,0
763971,660,0
763981,661,0
763991,666,0
764001,656,0
764011,660,0
764021,660,0
764031,661,0
764041,662,0
764051,661,0
764061,664,0
764077,657,0
764087,664,0
764097,658,0
764107,663,0
764117,660,0
764127,665,0
764137,663,0
764147,660,0
764157,660,0
764167,661,0
764177,656,0
764187,665,0
764197,664,0
764207,665,0
764217,655,0
764227,663,0
764237,664,0
764253,663,0
764263,663,0
764273,662,0
764283,664,0
764293,660,0
764303,662,0
764313,661,0
764323,665,0
764333,661,0
764343,662,0
764353,660,0
764363,665,0
764373,661,0
764383,665,0
