Time,Volt_In,Volt_Out
1023040,628,0
1023051,647,0
1023061,623,0
1023071,661,0
1023081,635,0
1023091,621,0
1023101,655,0
1023111,622,0
1023121,660,0
1023131,615,0
1023141,626,0
1023151,651,0
1023161,624,0
1023171,662,0
1023181,637,0
1023191,630,0
1023201,647,0
1023211,622,0
1023221,643,0
1023232,638,0
1023242,628,0
1023252,647,0
1023262,626,0
1023272,637,0
1023282,641,0
1023292,629,0
1023302,691,0
1023312,606,0
1023322,646,0
1023332,637,0
1023342,626,0
1023352,657,0
1023362,616,0
1023372,634,0
1023382,643,0
1023392,624,0
1023402,636,0
1023413,626,0
1023423,648,0
1023433,651,0
1023443,623,0
1023453,653,0
1023463,626,0
1023473,635,0
1023483,559,3300
1023493,555,3300
1023503,555,3300
1023513,554,3300
1023523,552,3300
1023533,1263,0
1023543,1029,0
1023553,954,0
1023563,842,0
1023573,806,0
1023583,775,0
1023594,723,0
1023604,729,0
1023614,687,0
1023624,702,0
1023634,701,0
1023644,664,0
1023654,699,0
1023664,672,0
1023674,665,0
1023684,679,0
1023694,645,0
1023704,676,0
1023714,653,0
1023724,650,0
1023734,673,0
1023744,635,0
1023754,697,0
1023764,628,0
1023775,639,0
1023785,690,0
1023795,613,0
1023805,680,0
1023815,628,0
1023825,627,0
1023835,678,0
1023845,609,0
1023855,667,0
1023865,626,0
1023875,630,0
1023885,675,0
1023895,607,0
1023905,667,0
1023915,638,0
1023925,626,0
1023935,667,0
1023945,606,0
1023956,668,0
1023966,639,0
1023976,626,0
1023986,684,0
1023996,608,0
1024006,667,0
1024016,643,0
1024026,615,0
1024036,692,0
1024046,612,0
1024056,652,0
1024066,642,0
1024076,610,0
1024086,687,0
1024096,603,0
1024106,644,0
