Time,Volt_In
931190,2.52
931193,2.69
931196,2.82
931198,2.92
931201,2.99
931204,3.02
931207,3.01
931210,2.97
931213,2.88
931216,2.77
931219,2.62
931221,2.44
931224,2.25
931227,2.04
931230,1.83
931233,1.61
931236,1.4
931239,1.21
931241,1.04
931244,0.88
931247,0.77
931250,0.68
931253,0.63
931256,0.62
931259,0.65
931261,0.71
931264,0.81
931267,0.95
931270,1.11
931273,1.29
931276,1.5
931279,1.71
931281,1.93
931284,2.13
931289,2.47
931295,2.79
931302,3
931309,2.99
931315,2.81
931322,2.44
931329,1.95
931335,1.43
931341,1.04
931348,0.73
931355,0.62
931361,0.7
931368,0.98
931375,1.42
931382,1.94
931388,2.35
931394,2.76
931401,2.99
931408,3
931414,2.85
931421,2.49
931428,2.01
931434,1.56
931441,1.1
931447,0.77
931454,0.62
931460,0.68
931467,0.93
931474,1.35
931477,1.56
931480,1.77
931485,2.2
931488,2.4
931491,2.57
931494,2.73
931497,2.86
931500,2.94
931503,3.01
931505,3.02
931508,3
931511,2.95
931514,2.85
931517,2.72
931520,2.56
931523,2.39
931525,2.19
931528,1.98
931531,1.76
931534,1.55
931537,1.34
931540,1.16
931543,0.99
931546,0.85
931548,0.73
931551,0.66
931554,0.62
931557,0.62
931560,0.66
931563,0.74
931566,0.85
931568,0.99
931571,1.16
931574,1.35
931577,1.56
931580,1.77
931583,1.99
931586,2.2
931588,2.4
931591,2.57
931594,2.73
931597,2.86
931600,2.95
931603,3.01
931606,3.02
931608,3
931611,2.95
931614,2.84
931617,2.72
931620,2.56
931623,2.39
931626,2.19
931629,1.97
931631,1.77
931634,1.55
931637,1.34
931640,1.15
931643,0.99
931646,0.85
931649,0.73
931651,0.66
931654,0.62
931657,0.62
931660,0.66
931663,0.74
931666,0.85
931669,1
931671,1.17
931674,1.36
931677,1.57
931680,1.78
931683,2
931686,2.21
931689,2.41
931692,2.59
931694,2.74
931697,2.87
931700,2.95
931703,3
931706,3.02
931709,3
931712,2.94
931714,2.85
931717,2.72
931720,2.56
931723,2.38
931726,2.18
931729,1.97
931732,1.75
931734,1.54
931737,1.33
931740,1.14
931743,0.97
931746,0.84
931749,0.73
931752,0.66
931755,0.62
931757,0.62
931760,0.67
931763,0.74
931766,0.85
931769,1
931772,1.17
931775,1.37
931777,1.57
931780,1.78
931783,2
931787,2.35
931790,2.54
931793,2.7
931796,2.84
931799,2.96
931802,3.03
931805,3.07
931807,3.06
931810,3.02
931813,2.94
931816,2.83
931819,2.68
931822,2.51
931825,2.32
931828,2.11
931830,1.89
931833,1.68
931836,1.48
931839,1.27
931842,1.09
931845,0.94
931848,0.81
931850,0.71
931853,0.67
931856,0.64
931859,0.67
931862,0.73
931865,0.83
931868,0.96
931870,1.12
931873,1.3
931876,1.5
931879,1.71
931882,1.93
931885,2.14
931888,2.35
931890,2.54
931893,2.7
931896,2.85
931899,2.95
931902,3.03
931905,3.07
931908,3.06
931910,3.02
931913,2.94
931916,2.83
931919,2.69
931922,2.51
931925,2.32
931928,2.11
931931,1.9
931933,1.68
931936,1.47
931939,1.28
931942,1.09
931945,0.95
931948,0.81
931951,0.72
931953,0.67
931956,0.65
931959,0.67
931962,0.73
931965,0.83
931968,0.96
931971,1.12
931973,1.3
931976,1.5
931979,1.71
931982,1.93
931985,2.14
931988,2.35
931991,2.54
931993,2.71
931996,2.84
931999,2.95
932002,3.03
932005,3.07
932008,3.06
932011,3.02
932013,2.95
932016,2.83
932019,2.69
932022,2.51
932025,2.32
932028,2.11
932031,1.9
932033,1.68
932036,1.47
932039,1.27
932042,1.09
932045,0.94
932048,0.81
932051,0.72
932054,0.67
932056,0.65
932059,0.67
932062,0.74
932065,0.83
932068,0.96
932071,1.12
932074,1.3
932076,1.5
932079,1.71
932082,1.93
932085,2.14
932088,2.34
932091,2.54
932094,2.7
932096,2.84
932099,2.95
932102,3.02
932106,3.02
932111,2.96
932117,2.75
932124,2.34
932131,1.84
932137,1.41
932144,0.97
932151,0.69
932158,0.62
932164,0.74
932170,1.06
932177,1.52
932183,1.96
932190,2.44
932197,2.82
932204,3.02
932210,3
932217,2.78
932223,2.4
932230,1.9
932236,1.46
932243,1.01
932250,0.71
932256,0.63
932263,0.72
932270,1.02
932277,1.46
932283,1.91
932290,2.4
932296,2.79
932299,2.9
932302,2.98
932305,3.02
932308,3.01
932311,2.98
932314,2.9
932316,2.8
932319,2.65
932322,2.49
932325,2.3
932328,2.09
932331,1.88
932334,1.66
932336,1.46
932339,1.26
932342,1.08
932345,0.91
932348,0.79
932351,0.7
932354,0.65
932357,0.61
932359,0.64
932362,0.69
932365,0.78
932368,0.91
932371,1.06
932374,1.25
932377,1.44
932379,1.65
932382,1.87
932385,2.08
932391,2.48
932394,2.65
932397,2.79
932399,2.9
932402,2.98
932405,3.01
932408,3.01
932411,2.98
932414,2.9
932417,2.8
932419,2.66
932422,2.49
932425,2.3
932428,2.09
932431,1.88
932434,1.66
932437,1.45
932439,1.25
932442,1.08
932445,0.92
932448,0.79
932451,0.7
932454,0.64
932457,0.62
932460,0.64
932462,0.7
932465,0.79
932468,0.9
932471,1.07
932474,1.25
932477,1.44
932480,1.65
932482,1.88
932485,2.09
932488,2.29
932491,2.48
932494,2.65
932497,2.78
932500,2.9
932502,2.98
932505,3.02
932508,3.01
932511,2.98
932514,2.91
932517,2.79
932520,2.65
932522,2.49
932525,2.3
932528,2.09
932531,1.88
932534,1.67
932537,1.45
932540,1.26
932542,1.08
932545,0.92
932548,0.79
932551,0.7
932554,0.64
932557,0.62
932560,0.64
932563,0.69
932565,0.79
932568,0.91
932571,1.07
932574,1.25
932577,1.44
932580,1.66
932583,1.88
932585,2.09
932588,2.29
932591,2.48
932594,2.65
932597,2.79
932600,2.9
932603,2.98
932605,3.02
932608,3.02
932611,2.98
932614,2.91
932617,2.79
932620,2.66
932623,2.48
932625,2.3
932628,2.09
932631,1.88
932634,1.66
932637,1.44
932640,1.26
932643,1.07
932646,0.92
932648,0.79
932651,0.69
932654,0.64
932657,0.62
932660,0.64
932663,0.7
932666,0.79
932668,0.91
932671,1.07
