Time,Volt_In
326844,1.53
326847,0.73
326850,0.74
326853,1.56
326856,2.59
326858,3.02
326861,2.57
326864,1.53
326867,0.73
326875,2.22
326877,2.96
326880,2.82
326883,1.91
326886,0.93
326889,0.63
326892,1.21
326895,2.26
326898,2.97
326900,2.82
326903,1.91
326906,0.94
326909,0.63
326912,1.21
326915,2.26
326918,2.96
326920,2.82
326923,1.91
326926,0.93
326929,0.63
326932,1.21
326935,2.26
326938,2.97
326940,2.82
326943,1.91
326946,0.94
326949,0.63
326952,1.21
326955,2.26
326958,2.96
326960,2.82
326963,1.92
326966,0.93
326969,0.63
326972,1.21
326975,2.26
326978,2.97
326980,2.82
326983,1.91
326986,0.94
326989,0.63
326992,1.21
326995,2.26
326998,2.97
327000,2.82
327003,1.91
327006,0.94
327009,0.63
327012,1.21
327015,2.26
327018,2.97
327021,2.81
327023,1.9
327026,0.94
327029,0.63
327032,1.21
327035,2.26
327038,2.96
327041,2.81
327043,1.91
327046,0.93
327049,0.63
327052,1.21
327055,2.26
327058,2.97
327061,2.82
327063,1.91
327066,0.93
327069,0.63
327072,1.21
327075,2.26
327078,2.97
327081,2.82
327083,1.91
327086,0.94
327089,0.63
327092,1.21
327095,2.26
327098,2.97
327101,2.82
327104,1.9
327106,0.94
327109,0.63
327112,1.21
327115,2.26
327118,2.97
327121,2.82
327124,1.91
327126,0.94
327129,0.63
327132,1.22
327135,2.25
327138,2.97
327141,2.82
327144,1.9
327146,0.93
327149,0.63
327152,1.21
327155,2.26
327159,3.03
327162,2.45
327165,1.39
327168,0.67
327171,0.83
327174,1.75
327176,2.72
327179,3.02
327182,2.44
327185,1.38
327188,0.68
327191,0.83
327194,1.75
327196,2.73
327199,3.03
327202,2.45
327205,1.39
327208,0.68
327211,0.82
327214,1.75
327217,2.72
327219,3.03
327222,2.45
327225,1.39
327228,0.68
327231,0.83
327234,1.75
327237,2.72
327239,3.03
327242,2.45
327245,1.39
327248,0.67
327251,0.83
327254,1.75
327257,2.73
327259,3.03
327262,2.45
327265,1.4
327268,0.68
327271,0.83
327274,1.75
327277,2.72
327279,3.03
327282,2.46
327285,1.39
327288,0.67
327291,0.82
327294,1.74
327297,2.72
327299,3.03
327302,2.45
327305,1.4
327308,0.68
327311,0.82
327314,1.75
327317,2.72
327319,3.03
327322,2.45
327325,1.39
327328,0.67
327331,0.83
327334,1.74
327337,2.72
327340,3.02
327342,2.45
327345,1.39
327348,0.67
327351,0.82
327354,1.74
327357,2.72
327360,3.03
327362,2.45
327365,1.4
327368,0.68
327371,0.82
327374,1.74
327377,2.72
327380,3.02
327382,2.45
327385,1.39
327388,0.68
327391,0.83
327394,1.75
327397,2.72
327400,3.03
327402,2.45
327405,1.39
327408,0.68
327411,0.82
327414,1.74
327417,2.72
327420,3.02
327422,2.45
327425,1.39
327428,0.67
327431,0.83
327434,1.74
327437,2.72
327440,3.02
327442,2.45
327445,1.39
327448,0.68
327454,1.74
327457,2.72
327460,3.03
327463,2.44
327465,1.39
327468,0.67
327471,0.83
327474,1.74
327477,2.73
327480,3.03
327483,2.45
327485,1.39
327488,0.68
327491,0.83
327494,1.75
327497,2.72
327500,3.02
327503,2.44
327505,1.39
327508,0.68
327511,0.83
327514,1.74
327517,2.72
327520,3.02
327523,2.45
327525,1.4
327528,0.67
327531,0.83
327534,1.74
327537,2.72
327540,3.02
327543,2.45
327546,1.38
327548,0.68
327551,0.83
327554,1.75
327557,2.72
327560,3.02
327563,2.45
327566,1.39
327568,0.68
327571,0.83
327574,1.75
327577,2.72
327580,3.02
327583,2.45
327586,1.39
327588,0.68
327591,0.83
327594,1.75
327597,2.72
327600,3.03
327603,2.45
327606,1.39
327608,0.67
327611,0.83
327614,1.74
327617,2.72
327620,3.03
327623,2.46
327626,1.39
327628,0.67
327631,0.83
327634,1.74
327637,2.72
327640,3.03
327643,2.45
327646,1.39
327648,0.68
327651,0.83
327654,1.74
327657,2.73
327660,3.02
327663,2.44
327666,1.39
327669,0.68
327671,0.82
327674,1.75
327677,2.72
327680,3.02
327683,2.45
327686,1.38
327689,0.67
327691,0.83
327694,1.75
327697,2.72
327700,3.03
327703,2.45
327706,1.39
327709,0.68
327711,0.83
327714,1.74
327717,2.72
327720,3.03
327723,2.45
327726,1.39
327729,0.68
327731,0.83
327734,1.75
327737,2.72
327740,3.02
327743,2.45
327746,1.39
327749,0.68
327751,0.83
327754,1.75
327757,2.72
327760,3.03
327766,1.39
327769,0.67
327771,0.83
327774,1.75
327777,2.72
327780,3.03
327783,2.45
327786,1.39
327789,0.68
327792,0.83
327794,1.75
327797,2.73
327800,3.03
327803,2.46
327806,1.4
327809,0.68
327812,0.83
327814,1.75
327817,2.72
327820,3.02
327823,2.45
327826,1.39
327829,0.68
327832,0.83
327834,1.74
327837,2.72
327840,3.02
327843,2.45
327846,1.39
327849,0.68
327852,0.83
327854,1.75
327857,2.72
327860,3.03
327863,2.45
327866,1.4
327869,0.68
327872,0.83
327875,1.74
327877,2.72
327880,3.03
327883,2.45
327886,1.39
327889,0.67
327892,0.84
327895,1.75
327897,2.73
327900,3.03
327903,2.45
327906,1.39
327909,0.68
327912,0.84
327915,1.74
327917,2.72
327920,3.03
327923,2.45
327926,1.39
327929,0.67
327932,0.83
327935,1.74
327937,2.72
327940,3.03
327943,2.44
327946,1.38
327949,0.68
327952,0.83
327955,1.75
327957,2.72
327960,3.02
327963,2.44
327966,1.38
327969,0.67
327972,0.83
327975,1.74
327978,2.73
327980,3.02
327983,2.45
327986,1.39
327989,0.68
327992,0.83
327995,1.75
327998,2.72
328000,3.02
328003,2.45
328006,1.39
328009,0.67
328012,0.83
328015,1.75
328018,2.73
328020,3.03
328023,2.45
328026,1.39
328029,0.67
328032,0.83
328035,1.75
328038,2.72
328040,3.03
328043,2.45
328046,1.38
328049,0.68
328052,0.83
328055,1.74
328059,2.97
328062,2.82
328065,1.91
328068,0.94
328070,0.63
328073,1.2
328076,2.25
328079,2.97
328082,2.82
328085,1.91
328088,0.93
328090,0.63
328093,1.2
328096,2.27
328099,2.97
328102,2.81
328105,1.91
328108,0.94
328110,0.63
328113,1.2
328116,2.26
328119,2.97
