Time,Volt_In,Volt_Out
280476,792,0
280476,679,0
280477,691,0
280478,843,0
280479,1102,0
280479,1443,0
280480,1852,0
280481,2283,0
280482,2647,0
280483,2940,0
280483,3062,0
280484,3059,0
280485,2902,0
280486,2623,0
280487,2248,0
280487,1840,0
280488,1456,0
280489,1091,0
280490,826,0
280490,692,0
280491,676,0
280492,802,0
280493,1054,0
280494,1419,0
280494,1784,0
280495,2231,0
280496,2611,0
280497,2894,0
280498,3063,0
280498,3067,0
280499,2930,0
280500,2655,0
280501,2303,0
280502,1875,0
280502,1469,0
280503,1123,0
280504,845,0
280505,681,0
280505,672,0
280506,786,0
280507,1021,0
280508,1367,0
280509,1782,0
280509,2178,0
280510,2565,0
280511,2870,0
280512,3037,0
280513,3078,0
280513,2947,0
280514,2702,0
280515,2337,0
280516,1940,0
280517,1533,0
280517,1165,0
280518,876,0
280519,710,0
280520,667,0
280520,750,0
280521,974,0
280522,1309,0
280523,1712,0
280524,2151,0
280524,2515,0
280525,2844,0
280526,3034,0
280527,3071,0
280528,2969,0
280528,2727,0
280529,2389,0
280530,1967,0
280531,1569,0
280532,1184,0
280532,899,0
280533,719,0
280534,662,0
280535,747,0
280535,949,0
280536,1271,0
280537,1666,0
280538,2113,0
280539,2526,0
280539,2829,0
280540,3013,0
280541,3071,0
280542,2984,0
280543,2760,0
280543,2428,0
280544,2044,0
280545,1609,0
280546,1218,0
280547,910,0
280547,724,0
280548,662,0
280549,734,0
280550,942,0
280550,1240,0
280551,1627,0
280552,2048,0
280553,2465,0
280554,2811,0
280554,3005,0
280555,3081,0
280556,3005,0
280557,2801,0
280558,2457,0
280558,2069,0
280559,1662,0
280560,1259,0
280561,935,0
280562,736,0
280562,657,0
280563,726,0
280564,924,0
280565,1224,0
280565,1584,0
280566,2006,0
280567,2431,0
280568,2759,0
280569,3002,0
280569,3079,0
280570,3021,0
280571,2816,0
280572,2504,0
280573,2097,0
280573,1690,0
280574,1314,0
280575,972,0
280576,751,0
280576,664,0
280577,705,0
280578,876,0
280579,1173,0
280580,1556,0
280580,1948,0
280581,2373,0
280582,2730,0
280583,2967,0
280584,3083,0
280584,3030,0
280585,2854,1422
280588,1514,2132
280590,803,2409
280593,998,2112
280595,2361,1400
280597,3012,577
280600,2593,80
280602,1675,67
280605,691,558
280607,890,1354
280609,2196,2122
280612,3076,2409
280614,2763,2148
280617,1373,1445
280619,730,622
280621,1109,83
280623,1976,64
280626,3038,541
280629,2521,1319
280631,1570,2077
280635,747,2361
280636,1378,1864
280639,2749,900
280642,2934,251
280644,2179,51
280647,867,374
280648,686,1100
280651,1689,1951
280654,2949,2419
280656,3004,2358
280659,1855,1764
280661,974,945
280663,796,270
280665,1497,48
280668,2840,358
280671,2850,1054
280673,2017,1874
280676,783,2396
280677,728,2377
280680,1858,1806
280683,3017,993
280685,2933,296
280688,1647,51
280690,867,338
280692,896,1025
280694,1710,1851
280697,2958,2400
280700,2705,2393
280702,1812,1848
280705,707,1045
280706,816,335
280709,2087,48
280711,2886,287
280714,2797,987
280717,1424,1800
280719,753,2377
280721,1060,2409
280723,1936,1877
280726,3036,1077
280729,2518,354
280731,1596,61
280734,676,277
280735,916,935
280738,2249,1770
280740,2957,2361
280743,2716,2419
280746,1315,1938
280747,722,1119
280750,1153,390
280752,2083,51
280755,3063,258
280757,2849,900
280759,1518,1748
280762,661,2332
280764,1008,2432
280767,2410,1970
280769,3026,1167
280772,2577,422
280774,1176,0
280775,884,0
280776,705,0
280777,665,0
280778,766,0
280778,971,0
280779,1309,0
280780,1693,0
280781,2100,0
280781,2478,0
280782,2789,0
280783,3004,0
280784,3080,0
280785,2998,0
280785,2784,0
280786,2469,0
280787,2054,0
280788,1634,0
280789,1257,0
280789,947,0
280791,635,0
280791,633,0
280792,750,0
280793,1004,0
280794,1365,0
280794,1739,0
280796,2464,0
280797,2842,0
280798,3009,0
280798,3006,0
280799,2876,0
280800,2601,0
280801,2251,0
280802,1821,0
280802,1428,0
280803,1070,0
280804,791,0
280805,640,0
280806,641,0
280806,755,0
280807,1002,0
280808,1359,0
280809,1743,0
280809,2149,0
280810,2509,0
280811,2819,0
280812,2990,0
280813,3013,0
280813,2888,0
280814,2651,0
280815,2279,0
280816,1895,0
280817,1481,0
280817,1115,0
280818,829,0
280819,664,0
280820,621,0
280820,705,0
280821,925,0
280822,1261,0
280823,1660,0
280824,2104,0
280824,2464,0
280825,2791,0
280826,2978,0
280827,3019,0
280828,2914,0
280828,2671,0
280829,2328,0
280830,1911,0
280831,1516,0
280832,1144,0
280832,854,0
280833,664,0
280834,620,0
280835,705,0
280835,897,0
280836,1224,0
280837,1617,0
280838,2057,0
280839,2465,0
280839,2759,0
