Time,Volt_In
3925522,720
3925533,697
3925544,670
3925555,714
3925566,713
3925576,701
3925587,699
3925598,708
3925609,699
3925620,682
3925631,713
3925641,671
3925652,667
3925663,688
3925674,689
3925685,664
3925696,688
3925706,664
3925717,673
3925728,645
3925739,670
3925750,661
3925760,665
3925771,723
3925782,711
3925793,708
3925804,692
3925814,684
3925825,675
3925836,705
3925847,700
3925858,676
3925868,671
3925879,690
3925890,662
3925901,675
3925912,664
3925923,651
3925933,660
3925944,667
3925955,696
3925966,697
3925977,675
3925987,693
3925998,696
3926009,668
3926020,676
3926031,674
3926041,679
3926052,698
3926063,697
3926074,675
3926085,676
3926095,688
3926106,686
3926117,684
3926128,712
3926139,671
3926150,716
3926160,680
3926171,672
3926182,691
3926193,701
3926204,690
3926220,722
3926231,680
3926242,664
3926252,674
3926263,697
3926274,664
3926285,672
3926296,685
3926307,681
3926318,693
3926328,696
3926339,708
3926350,713
3926361,700
3926372,727
3926383,679
3926393,700
3926404,717
3926415,675
3926426,674
3926437,672
3926448,681
3926458,697
3926469,687
3926480,681
3926491,668
3926502,685
3926513,684
3926523,693
3926534,742
3926545,700
3926556,657
3926567,742
3926577,696
3926588,676
3926599,704
3926610,697
3926621,694
3926631,708
3926642,650
3926653,731
3926664,722
3926675,624
3926686,787
3926697,699
3926707,632
3926718,711
3926729,600
3926740,614
3926751,718
3926761,703
3926772,662
3926783,661
3926794,764
3926805,763
3926816,691
3926826,629
3926837,747
3926848,693
3926859,623
3926870,756
3926880,668
3926891,630
3926902,752
3926913,691
3926924,670
3926934,661
3926945,744
3926956,684
3926967,648
3926978,635
3926988,668
3926999,616
3927010,623
3927021,1004
3927032,607
3927043,772
3927053,672
3927064,639
3927075,770
3927086,1058
3927097,676
3927108,738
3927119,611
3927129,627
3927140,747
3927151,591
3927162,677
3927173,676
3927183,593
3927194,760
3927205,655
3927216,574
3927227,738
3927238,652
3927248,589
3927259,744
3927270,645
3927281,653
3927292,790
3927303,573
3927313,693
3927324,714
3927335,560
3927346,722
3927357,689
3927368,597
3927378,735
3927389,655
3927400,574
3927411,734
3927422,720
3927433,582
3927443,747
3927454,627
3927465,618
3927476,766
3927487,806
3927498,653
3927508,730
3927519,599
3927530,538
3927541,755
3927552,614
3927563,667
3927573,700
3927584,634
3927595,747
3927606,690
3927617,610
3927628,748
3927638,680
3927649,586
3927660,578
3927671,643
3927682,622
3927693,747
3927703,622
3927714,648
3927725,719
3927736,582
3927747,672
3927757,761
3927768,610
3927779,728
3927790,730
3927801,591
3927812,717
3927822,675
3927833,609
3927844,799
3927855,636
3927866,708
3927876,776
3927887,667
3927898,664
3927909,724
3927920,616
3927931,751
3927941,728
3927952,639
3927963,547
3927974,742
3927985,840
3927996,552
3928006,684
3928017,810
3928028,547
3928039,713
3928050,583
3928060,718
3928071,680
3928082,618
3928093,589
3928104,820
3928115,693
3928125,546
3928136,781
3928147,606
3928158,760
