Time,Volt_In
43809,1709
43810,2128
43811,2537
43811,2835
43812,3043
43813,3078
43814,2987
43815,2751
43815,2400
43816,1992
43817,1587
43818,1192
43819,884
43819,701
43820,672
43821,767
43822,1004
43823,1352
43823,1760
43824,2136
43825,2526
43826,2846
43827,3030
43827,3077
43828,2972
43829,2744
43830,2395
43831,1983
43831,1557
43832,1178
43833,891
43834,718
43834,667
43835,767
43836,971
43837,1320
43838,1727
43838,2146
43839,2564
43840,2849
43841,3030
43842,3077
43842,2976
43843,2724
43844,2392
43845,1988
43846,1544
43846,1169
43847,871
43848,712
43849,665
43850,775
43850,1014
43851,1381
43852,1747
43853,2179
43854,2576
43854,2881
43855,3067
43856,3075
43857,2953
43858,2673
43858,2343
43859,1936
43860,1529
43861,1133
43862,839
43862,684
43863,680
43864,796
43865,1049
43866,1414
43866,1834
43867,2216
43868,2591
43869,2885
43870,3042
43870,3071
43871,2939
43872,2677
43873,2320
43874,1902
43874,1483
43875,1137
43876,850
43877,690
43877,669
43878,795
43879,1024
43880,1387
43881,1799
43881,2226
43882,2620
43883,2892
43884,3046
43885,3068
43885,2939
43886,2694
43887,2338
43888,1911
43889,1468
43889,1114
43890,837
43891,683
43892,669
43893,812
43893,1064
43894,1394
43895,1795
43896,2210
43897,2604
43897,2902
43898,3053
43899,3071
43900,2938
43901,2668
43901,2309
43902,1902
43903,1497
43904,1135
43904,861
43905,689
43906,669
43907,785
43908,1039
43908,1411
43909,1846
43910,2238
43911,2606
43912,2905
43912,3046
43913,3084
43914,2936
43915,2668
43916,2293
43916,1894
43917,1448
43918,1112
43919,838
43920,681
43920,678
43921,827
43922,1073
43923,1438
43924,1861
43924,2281
43925,2680
43926,2916
43927,3065
43928,3062
43928,2898
43929,2609
43930,2249
43931,1835
43932,1404
43932,1062
43933,799
43934,680
43935,687
43936,853
43936,1146
43937,1535
43938,1930
43939,2341
43940,2704
43940,2955
43941,3092
43942,3050
43943,2876
43944,2566
43944,2192
43945,1763
43946,1379
43947,1028
43948,781
43948,665
43949,710
43950,862
43951,1153
43952,1531
43952,1964
43953,2355
43954,2698
43955,2946
43955,3066
43956,3061
43957,2901
43958,2616
43959,2216
43959,1813
43960,1400
43961,1058
43962,802
43963,672
43963,688
43964,829
43965,1094
43966,1445
43966,1845
43967,2283
43968,2627
43969,2904
43970,3055
43970,3057
43971,2920
43972,2653
43973,2286
43974,1863
43974,1448
43975,1087
43976,830
43977,678
43978,685
43978,821
43979,1075
43980,1416
43981,1808
43981,2228
43982,2586
43983,2880
43984,3044
43985,3067
43985,2946
43986,2706
43987,2349
43988,1916
43989,1492
43989,1118
43990,843
43991,693
43992,671
43993,805
43993,1071
43994,1450
43995,1825
43996,2248
43997,2609
43997,2900
43998,3038
43999,3068
44000,2933
44001,2663
44001,2302
44002,1907
44003,1494
44004,1135
44004,859
44005,700
44006,667
44007,777
44008,1029
44008,1403
44009,1826
44010,2212
44011,2608
44012,2876
44012,3049
44013,3085
44014,2939
44015,2669
44016,2316
44016,1889
44017,1465
44018,1111
44019,834
44020,689
44020,684
44021,828
44022,1062
44023,1419
44024,1828
44024,2258
44025,2610
44026,2897
44027,3055
44028,3058
44028,2929
44029,2656
44030,2300
44031,1880
44032,1467
44032,1114
44033,849
44034,698
44035,664
44035,793
44036,1061
44037,1383
44038,1807
44039,2233
44039,2623
44040,2922
44041,3053
44042,3066
44043,2923
44043,2655
44044,2274
44045,1869
44046,1469
44047,1088
44047,814
44048,680
44049,675
44050,813
44051,1089
