Time,Volt_In
219868,684
219868,683
219869,677
219870,676
219871,669
219871,668
219872,663
219873,663
219874,664
219875,655
219875,654
219876,651
219877,649
219878,647
219878,644
219879,645
219880,637
219881,643
219882,635
219882,634
219883,639
219884,644
219885,643
219885,641
219886,644
219887,648
219888,657
219889,651
219889,660
219890,663
219891,664
219892,670
219892,669
219893,675
219894,677
219895,685
219896,682
219896,684
219897,685
219898,658
219899,689
219899,684
219900,687
219901,683
219902,689
219903,676
219903,677
219904,676
219905,657
219906,663
219906,666
219907,660
219908,657
219909,652
219910,648
219910,645
219911,647
219912,643
219913,648
219914,636
219914,639
219915,639
219916,643
219917,637
219917,638
219918,644
219919,647
219920,649
219921,650
219921,649
219922,657
219923,654
219924,668
219924,663
219925,674
219926,672
219927,676
219928,675
219928,682
219929,686
219930,686
219931,689
219931,689
219932,684
219933,689
219934,693
219935,677
219935,680
219936,679
219937,678
219938,668
219938,668
219939,668
219940,664
219941,659
219942,655
219942,655
219943,651
219944,648
219945,647
219945,639
219946,641
219947,641
219948,637
219949,635
219949,639
219950,640
219951,641
219952,646
219953,645
219953,651
219954,647
219955,649
219956,654
219956,658
219957,664
219958,673
219959,668
219960,670
219960,676
219961,676
219962,685
219963,680
219963,689
219964,684
219965,687
219966,687
219966,686
219967,687
219968,680
219969,679
219970,679
219970,672
219971,668
219972,667
219973,664
219973,662
219974,659
219975,656
219976,648
219977,650
219977,645
219978,639
219979,651
219980,639
219980,633
219981,639
219982,636
219983,636
219983,637
219984,643
219985,639
219986,639
219987,642
219987,651
219988,647
219989,658
219990,662
219990,660
219991,665
219992,675
219993,676
219993,672
219994,676
219995,679
219996,682
219997,683
219997,687
219998,682
219999,692
220000,684
220000,683
220001,552
220002,679
220003,679
220004,678
220004,672
220005,670
220006,667
220007,662
220007,655
220008,655
220009,653
220010,647
220010,647
220011,639
220012,642
220013,639
220014,635
220014,640
220015,635
220016,637
220017,635
220017,641
220018,640
220019,643
220020,641
220021,642
220021,650
220022,655
220023,658
220024,659
220024,664
220025,673
220026,678
220027,674
220028,676
220028,680
220029,681
