Time,Volt_In,Volt_Out
4093737,3.3,1020
4093740,3.3,1022
4093744,3.3,1022
4093747,3.3,1022
4093750,3.3,1021
4093753,3.3,1020
4093757,3.3,1017
4093760,3.29,1014
4093763,3.28,1010
4093766,3.26,1006
4093770,3.25,1000
4093773,3.23,994
4093776,3.2,987
4093779,3.18,979
4093783,3.15,971
4093786,3.13,962
4093789,3.09,952
4093793,3.06,941
4093796,3.02,930
4093799,2.99,919
4093802,2.94,906
4093806,2.9,893
4093809,2.86,880
4093812,2.82,866
4093815,2.77,851
4093819,2.72,836
4093822,2.67,820
4093825,2.62,804
4093829,2.56,787
4093832,2.5,770
4093835,2.45,753
4093838,2.39,735
4093842,2.33,717
4093845,2.27,698
4093848,2.21,680
4093851,2.15,661
4093855,2.09,642
4093858,2.02,622
4093861,1.96,603
4093865,1.9,583
4093868,1.83,563
4093871,1.77,543
4093874,1.7,523
4093878,1.64,503
4093881,1.57,483
4093884,1.51,463
4093887,1.44,443
4093891,1.38,424
4093894,1.32,404
4093897,1.26,385
4093900,1.19,365
4093904,1.13,346
4093907,1.07,328
4093912,0.98,300
4093915,0.92,282
4093918,0.86,264
4093922,0.81,247
4093925,0.75,230
4093928,0.7,213
4093931,0.65,197
4093935,0.6,182
4093938,0.55,167
4093941,0.5,152
4093944,0.46,138
4093948,0.42,125
4093951,0.37,112
4093954,0.33,100
4093957,0.3,88
4093961,0.26,77
4093964,0.23,67
4093967,0.2,58
4093970,0.17,49
4093974,0.14,40
4093977,0.12,33
4093980,0.1,26
4093983,0.08,20
4093987,0.06,15
4093990,0.05,11
4093993,0.04,7
4093996,0.02,4
4094000,0.02,2
4094003,0.01,0
4094006,0.03,0
4094009,0.03,0
4094013,0.03,1
4094016,0.03,2
4094019,0.03,5
4094022,0.04,8
4094026,0.05,12
4094029,0.06,17
4094032,0.08,22
4094036,0.1,29
4094039,0.13,36
4094042,0.15,43
4094045,0.18,52
4094049,0.21,61
4094052,0.24,71
4094055,0.27,81
4094058,0.31,92
4094062,0.35,104
4094065,0.39,117
4094068,0.43,130
4094072,0.47,143
4094075,0.52,158
4094078,0.56,172
4094081,0.62,187
4094085,0.67,203
4094088,0.72,219
4094091,0.77,236
4094094,0.83,253
4094098,0.88,270
4094101,0.94,288
4094104,1,306
4094108,1.06,325
4094111,1.12,344
4094114,1.19,363
4094117,1.25,382
4094121,1.31,401
4094124,1.37,421
4094127,1.44,441
4094130,1.5,460
4094134,1.57,480
4094137,1.63,500
4094140,1.69,520
4094143,1.76,540
4094147,1.82,560
4094150,1.89,580
4094153,1.95,600
4094157,2.02,619
4094160,2.08,639
4094163,2.14,658
4094166,2.2,677
4094170,2.27,696
4094173,2.32,714
4094176,2.38,733
4094179,2.44,750
4094183,2.5,768
4094186,2.55,785
4094189,2.61,802
4094192,2.66,818
4094196,2.71,834
4094199,2.76,849
4094202,2.8,864
4094205,2.85,878
4094209,2.89,891
4094213,2.96,911
4094217,3,923
4094220,3.03,934
4094223,3.07,945
4094226,3.1,956
4094230,3.13,965
4094233,3.16,974
4094236,3.19,982
4094239,3.21,990
4094243,3.23,996
4094246,3.26,1002
4094249,3.27,1007
4094252,3.28,1012
4094256,3.3,1015
4094259,3.3,1018
4094262,3.3,1021
4094265,3.3,1022
4094269,3.3,1022
4094272,3.3,1022
4094275,3.3,1021
4094278,3.3,1020
4094282,3.3,1017
4094285,3.29,1014
4094288,3.28,1010
4094291,3.25,1005
4094295,3.25,999
4094298,3.22,993
4094301,3.2,986
4094304,3.18,978
4094308,3.15,970
4094311,3.12,960
4094314,3.09,950
4094318,3.05,940
4094321,3.02,929
4094324,2.98,917
4094327,2.93,904
4094331,2.89,891
4094334,2.85,878
4094337,2.8,863
4094340,2.76,849
4094344,2.71,833
4094347,2.66,818
4094350,2.6,801
4094353,2.55,785
4094357,2.5,768
4094360,2.44,750
4094363,2.38,732
4094367,2.32,714
4094370,2.27,696
4094373,2.2,677
4094376,2.14,658
4094380,2.08,639
4094383,2.01,619
4094386,1.95,600
4094390,1.89,580
4094393,1.82,560
4094396,1.76,540
4094399,1.69,520
4094403,1.63,500
4094406,1.57,480
4094409,1.5,460
4094412,1.43,440
4094416,1.37,421
4094419,1.31,401
4094422,1.24,382
4094425,1.18,362
4094429,1.12,343
4094432,1.06,325
4094435,1,306
4094438,0.94,288
4094442,0.88,270
4094445,0.83,253
4094448,0.77,236
4094452,0.72,219
4094455,0.67,203
4094458,0.62,187
4094461,0.57,172
4094465,0.52,157
4094468,0.47,143
4094471,0.43,130
4094474,0.39,117
4094478,0.35,104
4094481,0.31,92
4094484,0.27,81
4094487,0.24,71
4094491,0.21,61
4094494,0.18,52
4094497,0.15,43
4094500,0.13,36
4094504,0.1,29
4094507,0.08,22
4094510,0.06,17
4094513,0.05,12
4094517,0.04,8
4094520,0.03,5
4094523,0.02,2
4094526,0.01,1
4094530,0.03,0
4094533,0.02,0
4094536,0.02,0
4094539,0.03,2
4094543,0.03,4
4094546,0.03,7
4094549,0.05,11
4094552,0.06,15
4094556,0.08,20
4094559,0.09,26
4094562,0.12,33
4094565,0.14,41
4094569,0.17,49
4094572,0.2,58
4094575,0.23,67
4094579,0.26,78
4094582,0.3,89
4094585,0.33,100
4094588,0.37,112
4094592,0.41,125
4094595,0.46,139
4094598,0.5,153
4094601,0.55,167
4094605,0.6,182
4094608,0.65,198
4094611,0.7,214
4094614,0.75,230
4094618,0.81,247
4094621,0.86,264
4094624,0.92,282
4094628,0.98,300
4094631,1.04,318
4094634,1.1,337
4094637,1.16,356
4094641,1.23,375
4094644,1.29,395
4094647,1.35,414
4094650,1.41,434
4094654,1.48,454
4094657,1.54,473
4094660,1.6,493
4094663,1.67,513
4094667,1.74,533
4094670,1.8,553
4094673,1.87,573
4094676,1.93,593
4094680,2,613
4094683,2.06,632
4094686,2.12,651
4094689,2.18,671
4094692,2.24,689
4094696,2.3,708
4094699,2.36,726
4094702,2.42,744
4094705,2.47,762
4094709,2.53,779
4094712,2.59,796
4094715,2.64,812
4094718,2.7,828
4094722,2.74,844
4094725,2.79,858
4094728,2.84,873
4094731,2.88,887
4094735,2.92,900
4094738,2.96,913
4094741,3,925
4094744,3.04,936
4094747,3.07,947
4094751,3.11,957
4094754,3.13,966
4094757,3.17,975
4094760,3.19,983
4094764,3.22,991
4094767,3.23,997
4094770,3.25,1003
4094773,3.27,1008
4094777,3.29,1012
