Time,Volt_In
126775,0.81
126778,0.94
126781,1.1
126784,1.27
126787,1.47
126789,1.68
126792,1.89
126795,2.1
126798,2.32
126801,2.51
126804,2.69
126807,2.83
126809,2.95
126812,3.03
126815,3.08
126818,3.08
126821,3.03
126824,2.97
126827,2.88
126829,2.74
126832,2.57
126835,2.39
126838,2.18
126841,1.96
126844,1.75
126847,1.54
126849,1.34
126852,1.15
126855,0.99
126858,0.86
126861,0.76
126864,0.69
126867,0.67
126869,0.68
126872,0.73
126875,0.82
126878,0.94
126881,1.1
126884,1.27
126887,1.48
126889,1.67
126892,1.89
126895,2.1
126898,2.32
126901,2.5
126904,2.68
126907,2.83
126910,2.94
126912,3.02
126915,3.07
126918,3.08
126921,3.04
126924,2.98
126927,2.87
126930,2.73
126932,2.57
126935,2.38
126938,2.18
126941,1.97
126944,1.75
126947,1.54
126950,1.34
126952,1.15
126955,0.99
126958,0.86
126961,0.75
126964,0.69
126967,0.66
126970,0.68
126972,0.74
126975,0.82
126978,0.94
126981,1.09
126984,1.27
126987,1.46
126990,1.67
126992,1.88
126995,2.11
126998,2.32
127001,2.5
127004,2.68
127007,2.83
127010,2.94
127012,3.03
127015,3.07
127018,3.08
127021,3.05
127024,2.97
127027,2.87
127030,2.73
127032,2.57
127035,2.38
127038,2.18
127041,1.96
127044,1.74
127047,1.53
127050,1.33
127052,1.15
127055,0.99
127058,0.85
127061,0.75
127064,0.7
127067,0.67
127070,0.68
127073,0.73
127077,0.83
127080,0.97
127084,1.27
127087,1.49
127090,1.7
127093,1.92
127096,2.15
127099,2.35
127102,2.53
127104,2.7
127107,2.85
127110,2.96
127113,3.03
127116,3.08
127119,3.08
127122,3.04
127124,2.96
127127,2.85
127130,2.71
127133,2.55
127136,2.35
127139,2.15
127142,1.93
127145,1.71
127147,1.5
127150,1.31
127153,1.12
127156,0.97
127159,0.83
127162,0.74
127165,0.68
127167,0.66
127170,0.68
127173,0.74
127176,0.83
127179,0.96
127182,1.12
127185,1.3
127187,1.49
127190,1.7
127193,1.93
127196,2.13
127199,2.34
127202,2.53
127205,2.7
127207,2.85
127210,2.96
127213,3.04
127216,3.08
127219,3.07
127222,3.04
