Time,Volt_In
908775,2979
908776,2822
908776,2569
908777,2267
908778,1913
908779,1537
908780,1224
908780,959
908781,759
908782,645
908783,626
908784,726
908784,918
908785,1176
908786,1516
908787,1893
908788,2245
908788,2581
908789,2810
908790,2966
908791,3022
908791,2971
908792,2820
908793,2565
908794,2262
908795,1883
908795,1547
908796,1214
908797,939
908798,738
908799,630
908799,627
908800,726
908801,916
908802,1189
908803,1501
908803,1871
908804,2204
908805,2536
908806,2794
908807,2958
908807,3039
908808,2975
908809,2832
908810,2577
908811,2288
908811,1948
908812,1589
908813,1238
908814,952
908815,738
908815,638
908816,626
908817,723
908818,930
908818,1208
908819,1566
908820,1901
908821,2270
908822,2589
908823,2835
908823,2992
908824,3022
908825,2960
908826,2783
908827,2540
908827,2222
908828,1879
908829,1518
908830,1182
908831,915
908831,724
908832,624
908833,637
908834,752
908835,971
908835,1274
908836,1593
908837,1952
908838,2316
908839,2628
908839,2881
908840,2985
908841,3022
908842,2943
908843,2764
908843,2490
908844,2158
908845,1812
908846,1446
908847,1132
908847,870
908848,705
908849,621
908850,651
