Time,Volt_In
132572,658
132573,654
132573,638
132574,630
132575,624
132576,606
132576,614
132577,617
132578,626
132579,634
132579,634
132580,657
132581,654
132582,684
132583,705
132583,730
132584,751
132585,784
132586,819
132586,849
132587,883
132588,918
132589,956
132590,1001
132590,1042
132591,1091
132592,1133
132593,1192
132594,1232
132594,1284
132595,1341
132596,1392
132597,1457
132597,1508
132598,1568
132599,1618
132600,1696
132601,1740
132601,1797
132602,1867
132603,1921
132604,1980
132605,2040
132605,2101
132606,2164
132607,2223
132608,2274
132609,2322
132610,2702
132611,2735
132611,2787
132612,2837
132613,2878
132614,2936
132615,2975
132615,3020
132616,3039
132617,3091
132618,3129
132619,3142
132619,3177
132620,3199
132621,3214
132622,3261
132623,3264
132623,3270
132624,3278
132625,3292
132626,3300
132627,3294
132627,3292
132628,3275
132629,3274
132630,3275
132631,3250
132631,3233
132632,3208
132633,3191
132634,3175
132635,3144
132635,3110
132636,3075
132637,3035
132638,2994
132639,2947
132639,2904
132640,2866
132641,2817
132642,2770
132643,2725
132643,2668
132644,2609
132645,2560
132646,2505
132647,2449
132647,2394
132648,2320
132649,2266
132650,2217
132651,2148
132651,2088
132652,2021
132653,1957
132654,1901
132655,1843
132655,1784
132656,1726
132657,1664
132658,1623
132659,1552
132659,1508
132660,1446
132661,1393
132662,1352
132663,1306
132663,1255
132664,1202
132665,1174
132666,1132
132667,1099
132667,1062
132668,1029
132669,996
132670,982
132671,952
132671,926
132672,922
132673,904
132674,893
132674,871
132675,869
132676,860
132677,872
132677,876
132678,871
132679,884
132680,893
132681,907
132681,923
132682,947
132683,963
132684,987
132684,1021
132685,1040
132686,1083
132687,1111
132688,1150
132688,1181
132689,1220
132690,1282
132691,1307
132691,1368
132692,1415
132693,1465
132694,1518
132695,1562
132695,1623
132696,1669
132697,1735
132698,1789
132698,1854
132699,1905
132700,1962
132701,2052
132702,2096
132703,2150
132703,2221
132704,2274
132705,2340
132706,2390
132707,2457
132707,2510
132708,2568
132709,2630
132710,2669
132711,2725
132711,2773
132712,2829
132713,2886
132714,2913
132715,2966
132715,3002
132716,3037
132717,3089
132718,3109
132719,3134
132719,3170
132720,3186
132721,3229
132722,3227
132723,3243
132723,3269
132724,3274
132725,3290
132726,3290
132727,3286
132727,3286
132728,3286
132729,3285
132730,3268
132731,3258
132731,3241
132732,3222
132733,3200
132734,3166
132735,3146
132735,3115
132736,3084
132737,3051
132738,3009
132739,2963
132739,2928
132740,2878
132741,2838
132742,2780
132743,2743
132743,2686
132744,2627
132745,2576
132746,2512
132747,2462
132747,2400
132748,2341
132749,2282
132750,2212
132751,2161
132751,2100
132752,2042
132753,1991
132754,1915
132755,1855
132755,1796
132756,1737
132757,1697
132758,1632
132759,1566
132759,1518
132760,1458
132761,1417
132762,1365
132763,1312
132763,1266
132764,1221
132765,1194
132766,1145
132767,1102
132767,1065
132768,1043
132769,1021
132770,979
132771,954
132771,939
