Time,Volt_In,Volt_Out
85787,1220,1206
85788,1220,1206
85789,1216,1206
85790,1217,1206
85791,1218,1206
85791,1217,1206
85792,1219,1206
85793,1218,1206
85794,1216,1206
85795,1216,1206
85795,1220,1206
85796,1219,1206
85797,1224,1206
85798,1218,1206
85799,1221,1206
85799,1217,1206
85800,1220,1206
85801,1218,1206
85802,1220,1206
85803,1220,1206
85803,1218,1206
85804,1220,1206
85805,1219,1206
85806,1219,1206
85807,1217,1206
85807,1220,1206
85808,1220,1206
85809,1224,1206
85810,1218,1206
85811,1219,1206
85811,1221,1206
85812,1220,1206
85813,1223,1206
85814,1219,1206
85815,1218,1206
85815,1219,1206
85816,1221,1206
85817,1222,1206
85818,1220,1206
85819,1218,1206
85819,1218,1206
85820,1220,1206
85821,1220,1206
85822,1221,1206
85823,1220,1206
85823,1220,1206
85824,1220,1206
85825,1224,1206
85826,1220,1206
85827,1220,1206
85827,1220,1206
85828,1216,1206
85829,1220,1206
85830,1220,1206
85831,1219,1206
85831,1219,1206
85832,1220,1206
85833,1224,1206
85834,1220,1206
85835,1220,1206
85835,1218,1206
85836,1217,1206
85837,1218,1206
85838,1217,1206
85839,1222,1206
85839,1218,1206
85840,1218,1206
85841,1221,1206
85842,1217,1206
85843,1219,1206
85843,1218,1206
85844,1219,1206
85845,1219,1206
85846,1220,1206
85847,1217,1206
85847,1220,1206
85848,1220,1206
85849,1222,1206
85850,1219,1206
85851,1217,1206
85851,1220,1206
85852,1222,1206
85853,1219,1206
85854,1218,1206
85855,1219,1206
85855,1218,1206
85856,1219,1206
85857,1223,1206
85858,1220,1206
85859,1218,1206
85859,1216,1206
85860,1221,1206
85861,1218,1206
85862,1220,1206
85863,1222,1206
85863,1218,1206
85864,1219,1206
85865,1220,1206
85866,1216,1206
85867,1218,1206
85867,1220,1206
85868,1221,1206
85869,1220,1206
85870,1221,1206
85871,1221,1206
85871,1219,1206
85872,1220,1206
85873,1222,1206
85874,1217,1206
85875,1220,1206
85875,1218,1206
85876,1221,1206
85877,1219,1206
85878,1220,1206
85879,1219,1206
85879,1217,1206
85880,1219,1206
85881,1212,1206
85882,1218,1206
85883,1219,1206
85883,1219,1206
85884,1218,1206
85885,1223,1206
85886,1219,1206
85887,1218,1206
85887,1219,1206
85888,1222,1206
85889,1220,1206
85890,1217,1206
85891,1220,1206
85891,1217,1206
85892,1216,1206
85893,1216,1206
85894,1220,1206
85895,1220,1206
85895,1219,1206
85896,1220,1206
85897,1224,1206
85898,1220,1206
85899,1220,1206
85899,1217,1206
85900,1217,1206
85901,1221,1206
85902,1220,1206
85903,1220,1206
85903,1216,1206
85904,1219,1206
85905,1217,1206
85906,1220,1206
85907,1218,1206
85907,1220,1206
85908,1216,1206
85909,1221,1206
85910,1218,1206
85911,1217,1206
85911,1220,1206
85912,1220,1206
85913,1222,1206
85914,1219,1206
85915,1220,1206
85915,1219,1206
85916,1218,1206
85917,1218,1206
85918,1219,1206
85919,1220,1206
85919,1218,1206
85920,1216,1206
85921,1220,1206
85922,1217,1206
85923,1220,1206
85923,1221,1206
85924,1219,1206
85925,1218,1206
85926,1220,1206
85927,1218,1206
85927,1219,1206
85928,1220,1206
85929,1222,1206
85930,1217,1206
85931,1218,1206
85931,1220,1206
85932,1216,1206
85933,1221,1206
85934,1220,1206
85935,1217,1206
85935,1217,1206
85936,1219,1206
85937,1220,1206
85938,1228,1206
85939,1218,1206
85939,1220,1206
85940,1219,1206
85941,1220,1206
85942,1220,1206
85943,1218,1206
85943,1221,1206
85944,1219,1206
85945,1222,1206
85946,1213,1206
85947,1220,1206
85947,1217,1206
85948,1220,1206
85949,1226,1206
85950,1219,1206
85951,1219,1206
85951,1221,1206
85952,1221,1206
85953,1220,1206
85954,1222,1206
85955,1219,1206
85955,1220,1206
85956,1220,1206
85957,1220,1206
85958,1219,1206
85959,1220,1206
85959,1219,1206
85960,1224,1206
85961,1221,1206
85962,1221,1206
85963,1220,1206
85963,1219,1206
85964,1220,1206
85965,1221,1206
85966,1220,1206
85967,1220,1206
85967,1217,1206
85968,1220,1206
85969,1222,1206
85970,1220,1206
85971,1219,1206
85971,1217,1206
85972,1220,1206
85973,1220,1206
85974,1218,1206
85975,1216,1206
85975,1220,1206
85976,1222,1206
85977,1217,1206
85978,1218,1206
85979,1220,1206
85979,1216,1206
85980,1217,1206
85981,1219,1206
85982,1222,1206
85983,1219,1206
85983,1220,1206
85984,1220,1206
85985,1224,1206
85986,1220,1206
85987,1220,1206
85987,1219,1206
85988,1220,1206
85989,1221,1206
85990,1219,1206
85991,1219,1206
85991,1217,1206
85992,1220,1206
85993,1220,1206
85994,1218,1206
85995,1217,1206
85995,1220,1206
85996,1218,1206
85997,1221,1206
85998,1218,1206
85999,1222,1206
85999,1220,1206
86000,1217,1206
86001,1222,1206
86002,1220,1206
86003,1218,1206
86004,1219,1206
86004,1218,1206
86005,1220,1206
86006,1220,1206
86007,1219,1206
86008,1218,1206
86008,1220,1206
86009,1220,1206
86010,1228,1206
86011,1219,1206
86012,1220,1206
86012,1220,1206
86013,1221,1206
86014,1221,1206
86015,1218,1206
86016,1220,1206
86016,1222,1206
86017,1220,1206
86018,1222,1206
86019,1220,1206
86020,1221,1206
86020,1220,1206
86021,1224,1206
86022,1223,1206
86023,1220,1206
86024,1219,1206
86024,1220,1206
86025,1220,1206
86026,1221,1206
86027,1219,1206
86028,1219,1206
86028,1220,1206
86029,1220,1206
86030,1221,1206
86031,1221,1206
86032,1214,1206
86032,1220,1206
86033,1221,1206
86034,1217,1206
86035,1219,1206
86036,1219,1206
86036,1221,1206
86037,1216,1206
86038,1220,1206
86039,1219,1206
86040,1219,1206
86040,1219,1206
86041,1221,1206
86042,1225,1206
86043,1219,1206
86044,1220,1206
86044,1220,1206
86045,1220,1206
86046,1224,1206
86047,1220,1206
86048,1217,1206
86048,1220,1206
86049,1219,1206
86050,1220,1206
86051,1220,1206
86052,1222,1206
86052,1222,1206
86053,1216,1206
86054,1222,1206
86055,1221,1206
86056,1219,1206
86056,1222,1206
86057,1223,1206
86058,1220,1206
86059,1218,1206
86060,1219,1206
86060,1219,1206
86061,1221,1206
86062,1220,1206
86063,1220,1206
86064,1219,1206
86064,1220,1206
86065,1223,1206
86066,1220,1206
86067,1220,1206
86068,1220,1206
86068,1224,1206
86069,1219,1206
86070,1220,1206
86071,1220,1206
86072,1219,1206
86072,1220,1206
86073,1218,1206
86074,1220,1206
86075,1216,1206
86076,1219,1206
86076,1220,1206
86077,1220,1206
86078,1219,1206
86079,1218,1206
86080,1218,1206
86080,1220,1206
86081,1218,1206
86082,1220,1206
86083,1218,1206
86084,1220,1206
86084,1220,1206
86085,1220,1206
86086,1224,1206
86087,1218,1206
86088,1220,1206
86088,1224,1206
86089,1217,1206
86090,1220,1206
86091,1219,1206
86092,1227,1206
86093,1220,1206
86094,1220,1206
86094,1221,1206
86095,1220,1206
86096,1223,1206
86097,1220,1206
86098,1220,1206
86098,1221,1206
86099,1218,1206
86100,1220,1206
86101,1218,1206
86102,1219,1206
86102,1224,1206
86103,1221,1206
86104,1219,1206
86105,1218,1206
86106,1222,1206
86106,1221,1206
86107,1220,1206
86108,1220,1206
86109,1219,1206
86110,1217,1206
86110,1223,1206
86111,1220,1206
86112,1220,1206
86113,1217,1206
86114,1220,1206
86114,1222,1206
86115,1219,1206
86116,1223,1206
86117,1219,1206
86118,1216,1206
86118,1218,1206
86119,1219,1206
86120,1216,1206
86121,1219,1206
86122,1215,1206
86122,1223,1206
86123,1218,1206
86124,1220,1206
86125,1220,1206
86126,1220,1206
86126,1221,1206
86127,1220,1206
86128,1220,1206
86129,1220,1206
86130,1219,1206
86130,1220,1206
86131,1219,1206
86132,1222,1206
86133,1218,1206
86134,1219,1206
86134,1217,1206
86135,1221,1206
86136,1220,1206
86137,1220,1206
86138,1216,1206
86138,1220,1206
86139,1219,1206
86140,1222,1206
86141,1220,1206
86142,1223,1206
86142,1223,1206
86143,1219,1206
86144,1219,1206
86145,1218,1206
86146,1219,1206
86146,1220,1206
86147,1220,1206
86148,1217,1206
86149,1220,1206
86150,1218,1206
86150,1220,1206
86151,1218,1206
86152,1222,1206
86153,1217,1206
86154,1220,1206
86154,1223,1206
86155,1223,1206
86156,1221,1206
86157,1218,1206
86158,1218,1206
86158,1220,1206
86159,1220,1206
86160,1221,1206
86161,1218,1206
86162,1220,1206
86162,1220,1206
86163,1224,1206
86164,1221,1206
86165,1219,1206
86166,1219,1206
86166,1223,1206
86167,1220,1206
86168,1219,1206
86169,1219,1206
86170,1218,1206
86170,1223,1206
86171,1218,1206
86172,1225,1206
86173,1218,1206
86174,1221,1206
86174,1224,1206
86175,1221,1206
86176,1224,1206
86177,1220,1206
86178,1222,1206
86178,1220,1206
86179,1219,1206
86180,1219,1206
86181,1220,1206
86182,1220,1206
86182,1220,1206
86183,1218,1206
86184,1218,1206
86185,1216,1206
86186,1220,1206
86186,1223,1206
86187,1219,1206
86188,1219,1206
86189,1218,1206
86190,1218,1206
86190,1220,1206
86191,1219,1206
86192,1220,1206
86193,1217,1206
86194,1220,1206
86194,1220,1206
86195,1221,1206
86196,1221,1206
86197,1221,1206
86198,1219,1206
86198,1221,1206
86199,1224,1206
86200,1218,1206
86201,1220,1206
86202,1220,1206
86202,1221,1206
86203,1218,1206
86204,1223,1206
86205,1220,1206
86206,1220,1206
86206,1220,1206
86207,1220,1206
86208,1220,1206
86209,1222,1206
86210,1220,1206
86210,1220,1206
86211,1218,1206
86212,1220,1206
86213,1219,1206
86214,1219,1206
86214,1224,1206
86215,1219,1206
86216,1220,1206
86217,1223,1206
86218,1218,1206
86218,1219,1206
86219,1219,1206
86220,1220,1206
86221,1219,1206
86222,1220,1206
86222,1224,1206
86223,1219,1206
86224,1220,1206
86225,1218,1206
86226,1220,1206
86226,1220,1206
86227,1219,1206
86228,1220,1206
86229,1220,1206
86230,1220,1206
86230,1225,1206
86231,1220,1206
86232,1219,1206
86233,1220,1206
86234,1220,1206
86234,1224,1206
86235,1222,1206
86236,1221,1206
86237,1220,1206
86238,1218,1206
86238,1220,1206
86239,1217,1206
86240,1224,1206
86241,1222,1206
86242,1220,1206
86243,1222,1206
86243,1220,1206
86244,1224,1206
86245,1219,1206
86246,1219,1206
86247,1221,1206
86247,1219,1206
86248,1221,1206
86249,1218,1206
86250,1220,1206
86251,1217,1206
86251,1220,1206
86252,1223,1206
86253,1223,1206
86254,1224,1206
86255,1220,1206
86255,1219,1206
86256,1226,1206
86257,1219,1206
86258,1221,1206
86259,1222,1206
86259,1217,1206
86260,1218,1206
86261,1220,1206
86262,1217,1206
86263,1219,1206
86263,1223,1206
86264,1228,1206
86265,1222,1206
86266,1221,1206
86267,1219,1206
86267,1222,1206
86268,1220,1206
86269,1219,1206
86270,1219,1206
86271,1219,1206
86271,1220,1206
86272,1219,1206
86273,1220,1206
86274,1217,1206
86275,1219,1206
86275,1221,1206
86276,1221,1206
86277,1217,1206
86278,1219,1206
86279,1218,1206
86279,1220,1206
86280,1221,1206
86281,1222,1206
86282,1216,1206
86283,1220,1206
86283,1220,1206
86284,1220,1206
86285,1221,1206
86286,1220,1206
86287,1219,1206
86287,1219,1206
86288,1222,1206
86289,1220,1206
86290,1217,1206
86291,1219,1206
86291,1221,1206
86292,1219,1206
