Time,Volt_In
274424,2703
274424,2640
274425,2595
274426,2551
274427,2507
274428,2466
274429,2404
274429,2348
274430,2294
274431,2241
274432,2182
274433,2124
274433,2063
274434,2004
274435,1938
274436,1887
274437,1828
274437,1765
274438,1711
274439,1641
274440,1584
274441,1523
274441,1472
274442,1413
274443,1355
274444,1318
274444,1256
274445,1196
274446,1145
274447,1097
274448,1055
274448,1006
274449,963
274450,917
274451,884
274452,852
274452,812
274453,776
274454,750
274455,723
274456,700
274456,679
274457,666
274458,645
274459,639
274460,639
274460,614
274461,613
274462,617
274463,621
274464,628
274464,638
274465,642
274466,664
274467,681
274468,704
274468,722
274469,748
274470,784
274471,805
274472,859
274472,880
274473,920
274474,962
274475,1009
274476,1062
274476,1097
274477,1150
274478,1205
274479,1243
274480,1316
274480,1362
274481,1413
274482,1467
274483,1529
274484,1600
274485,1656
274485,1708
274486,1766
274487,1833
274488,1897
274489,1954
274489,2015
274490,2075
274491,2132
274492,2203
274493,2237
274493,2295
274494,2356
274495,2405
274496,2470
274497,2509
274497,2553
274498,2602
274499,2655
274500,2698
274501,2728
274501,2770
274502,2808
274503,2833
274504,2874
274505,2892
274505,2921
274506,2938
274507,2959
274508,2988
274509,2992
274509,2995
274510,3010
274511,3007
274512,3012
274513,3006
274513,3007
274514,2998
274515,2996
274516,2986
274517,2955
274517,2936
274518,2913
274519,2888
274520,2868
274521,2836
274521,2800
274522,2764
274523,2724
274524,2689
274525,2658
274525,2595
274526,2553
274527,2498
274528,2465
274529,2403
274529,2349
274530,2291
274531,2239
274532,2187
274533,2118
274533,2062
274534,2001
274535,1946
274536,1895
274537,1826
274537,1767
274538,1697
274539,1647
274540,1589
274541,1531
274541,1475
274542,1415
274543,1353
274544,1314
274545,1254
274545,1200
274546,1141
274547,1097
274548,1040
274549,1007
274549,963
274550,921
274551,876
274552,846
274553,805
274553,783
274554,752
274555,722
274556,699
274557,682
274557,660
274558,647
274559,632
274560,631
274561,616
274561,618
274562,619
274563,635
274564,622
274565,632
274565,646
274566,664
274567,676
274568,713
274569,726
274569,751
274570,783
274571,817
274572,850
274573,880
274573,918
274574,966
274575,1004
274576,1067
274577,1092
274577,1149
274578,1204
274579,1259
274580,1308
274581,1357
274581,1415
274582,1474
